 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22
532,20.490,126.150,131.515,31.725,122.976,136.579,66.852,119.894,90.972,115.266,171.218,64.254,36.810,154.276,142.476,49.311,122.502,74.572,74.723,119.312,148.565,426.839,169.334,56.010,97.280,163.798,60.906,27.762,121.582,125.274,178.567,147.836,142.169,31.353,113.529,129.194,115.833,139.168,137.314,174.778,135.807,126.302,2941.919,143.338,133.451,676.705,144.112,126.850,141.829,150.003,124.320,214.857,154.058,130.280,138.625,140.040,148.364,43.524,137.661,154.504,108.167,90.210,178.272,16.000,118.518,132.367
533,21.184,126.120,131.077,50.875,123.373,136.351,430.519,119.786,90.533,94.937,171.112,64.636,20.952,154.429,141.535,38.426,123.062,74.886,86.596,119.286,148.443,380.645,169.441,55.908,91.600,163.844,60.519,41.524,121.397,125.035,177.767,148.043,142.021,28.765,113.387,128.873,120.944,139.166,137.190,185.889,135.912,126.027,2201.216,143.308,133.495,497.455,144.170,126.868,136.343,150.071,124.514,113.429,154.081,130.078,67.812,140.054,148.141,51.952,137.797,154.718,65.375,89.992,178.537,18.750,118.707,132.557
534,31.347,126.445,131.385,61.850,123.139,137.002,1453.407,119.836,90.629,146.127,171.345,64.461,47.048,154.138,141.902,47.508,122.734,74.389,115.787,119.208,148.582,361.871,169.317,55.887,89.920,163.926,60.953,53.476,121.924,125.224,190.533,147.900,142.131,9.647,113.190,129.164,183.056,139.225,137.222,226.611,135.782,126.269,689.027,143.331,133.443,451.909,144.227,126.839,117.029,150.082,124.398,148.333,154.050,130.124,110.500,140.012,148.371,72.571,137.744,154.663,77.000,90.087,178.431,17.406,118.923,132.624
535,31.408,125.850,131.491,32.875,123.369,136.932,1332.741,119.814,90.682,115.899,171.017,64.385,27.143,154.245,141.929,51.934,122.632,74.606,76.468,119.082,148.934,416.710,169.403,56.031,88.853,163.851,60.665,26.381,121.731,124.979,21.333,147.886,141.788,62.529,113.644,129.185,151.778,139.330,137.368,207.444,135.759,126.028,518.919,143.384,133.489,422.318,144.259,126.700,128.457,149.818,124.535,137.143,153.934,130.252,87.375,139.981,148.320,48.524,137.649,154.869,52.250,89.883,178.552,47.844,119.191,132.641
536,28.061,126.101,131.364,30.700,123.115,136.553,1377.852,119.811,90.589,119.291,171.404,64.455,43.143,154.251,141.969,50.951,122.628,74.933,81.957,119.307,148.394,4084.903,169.416,55.957,81.253,163.724,60.900,34.143,121.754,125.092,24.067,147.737,142.316,11.000,113.713,129.127,216.889,139.120,137.333,168.667,135.719,126.056,433.297,143.196,133.482,374.136,144.362,126.881,161.886,150.100,124.502,119.286,154.284,130.054,79.312,140.144,148.336,46.810,137.814,154.487,99.042,90.255,178.402,12.719,118.768,132.389
537,44.551,126.124,131.372,39.100,123.261,136.630,660.148,119.781,90.616,92.278,171.479,64.556,13.333,154.076,141.589,54.623,122.921,74.901,94.255,119.360,148.698,3952.871,169.420,55.963,85.173,163.564,60.928,28.286,121.718,125.337,36.400,147.992,141.916,37.647,113.683,129.381,214.833,139.313,137.206,223.056,135.698,126.248,510.378,143.304,133.484,369.455,144.316,126.909,148.800,150.317,124.504,196.905,154.057,130.247,65.688,140.170,148.414,83.190,137.678,154.615,71.500,90.043,178.570,18.719,118.405,133.134
538,37.367,126.159,131.162,34.750,123.011,136.185,458.407,119.791,90.792,112.101,171.191,64.473,43.095,154.094,141.840,70.557,122.836,74.343,116.766,119.140,148.747,3020.936,169.449,55.988,129.413,164.073,60.584,24.667,122.034,125.347,19.267,147.831,142.162,33.588,113.190,129.494,192.056,139.171,137.348,167.167,135.728,126.037,489.676,143.388,133.532,371.909,144.269,126.880,158.829,149.977,124.486,158.571,154.152,130.081,129.312,139.828,148.275,57.905,137.582,154.839,85.375,89.838,178.402,18.094,118.652,132.773
539,29.245,125.952,131.383,31.900,123.258,136.758,91.407,119.725,90.354,86.481,171.253,64.726,32.762,154.348,142.544,52.623,122.817,74.106,2162.723,119.187,148.637,3147.290,169.422,55.977,80.373,163.803,61.263,46.952,122.011,124.958,21.533,148.040,141.863,29.882,113.893,129.099,155.667,139.124,137.411,203.056,135.794,126.074,506.865,143.409,133.421,438.409,144.206,126.862,132.286,149.869,124.419,133.333,154.127,130.101,127.438,140.004,148.369,100.333,137.701,154.771,45.083,89.750,178.307,19.156,118.400,132.841
540,44.041,126.239,131.168,38.125,123.604,136.652,55.370,119.817,90.804,113.924,171.248,64.380,46.143,154.113,141.663,65.148,122.478,74.584,1486.170,119.211,148.625,3173.032,169.413,55.968,74.027,163.831,60.426,69.143,121.652,125.386,33.133,148.170,142.010,25.059,114.052,129.349,124.222,139.039,137.224,188.667,135.849,126.140,468.216,143.239,133.349,439.909,144.274,126.988,134.000,149.951,124.426,209.905,154.153,129.980,126.062,139.964,148.454,49.048,137.857,154.610,69.208,90.184,178.422,21.406,118.474,132.753
541,59.714,126.063,131.389,22.525,123.732,136.874,55.556,119.570,90.782,114.759,171.322,64.463,39.095,154.197,142.082,41.082,122.752,74.572,1164.638,119.183,148.519,2765.355,169.380,55.986,101.360,163.770,60.836,22.619,121.796,125.405,19.833,148.443,141.952,572.235,113.734,129.240,181.333,139.138,137.338,132.333,135.624,126.086,458.432,143.314,133.411,490.500,144.345,126.859,116.829,149.915,124.315,164.571,154.061,130.100,52.750,139.958,148.467,55.571,138.018,154.663,29.083,90.327,178.226,38.406,118.861,133.330
542,35.224,126.393,131.595,37.900,123.408,136.581,56.926,119.662,90.174,131.848,171.262,64.440,11.714,154.127,141.389,64.557,122.819,74.578,854.383,119.233,148.563,1775.484,169.419,56.003,114.160,163.734,60.901,21.286,122.102,125.096,21.400,148.015,142.336,212.647,113.736,129.308,122.056,139.057,137.288,148.667,135.731,125.927,455.514,143.296,133.422,485.045,144.323,126.905,151.829,149.924,124.457,130.000,154.029,130.105,101.812,139.950,148.352,57.810,137.707,154.441,72.292,90.131,178.336,540.156,118.667,133.040
543,36.327,126.097,131.393,40.250,123.371,136.913,47.407,119.925,90.763,119.570,171.252,64.345,44.667,154.280,141.940,50.820,122.551,74.332,739.532,119.181,148.574,721.677,169.425,55.947,96.907,163.778,60.972,49.000,122.209,125.302,17.533,148.038,142.082,308.118,113.527,129.157,166.278,139.191,137.165,193.389,135.795,126.087,423.838,143.284,133.341,401.500,144.188,126.826,123.714,150.033,124.341,140.810,154.001,129.968,105.188,139.824,148.109,51.571,137.912,154.736,67.875,90.415,178.350,334.312,118.721,133.017
544,42.714,126.224,131.590,100.275,123.301,136.697,57.037,119.942,90.774,109.873,171.198,64.399,25.286,154.229,142.232,51.672,122.604,74.546,1099.489,119.188,148.735,391.613,169.448,55.967,93.787,163.789,60.843,36.143,121.954,125.409,18.900,148.021,141.995,422.294,113.605,129.270,188.000,139.272,137.382,260.167,135.761,126.220,399.514,143.382,133.325,434.727,144.307,126.945,125.143,149.943,124.320,180.952,154.142,130.160,68.000,140.065,148.166,63.667,137.923,154.646,40.417,90.339,178.473,303.625,118.786,132.991
545,54.204,126.211,131.231,247.375,123.223,136.850,76.259,119.889,90.374,148.734,171.284,64.481,36.667,154.212,142.096,32.164,122.766,74.258,660.298,119.201,148.586,377.548,169.409,56.002,67.440,163.821,60.588,35.286,121.830,125.390,27.200,148.054,141.734,65.059,113.685,129.391,189.889,139.255,137.178,204.833,135.773,126.064,399.135,143.292,133.457,329.182,144.263,126.925,130.629,150.274,124.654,188.810,154.032,130.068,51.875,140.133,148.154,28.762,137.590,154.797,64.833,89.978,178.475,463.938,118.872,133.031
546,307.143,125.907,131.402,140.375,123.294,136.874,41.222,119.857,90.320,99.823,171.335,64.348,38.952,154.071,141.699,40.951,122.787,74.144,939.957,119.242,148.615,404.645,169.444,55.902,42.960,163.674,60.812,28.000,122.225,125.057,10.167,147.728,142.437,36.471,113.284,129.367,171.889,139.172,137.227,196.833,135.640,125.991,456.811,143.344,133.336,443.545,144.264,126.777,154.686,150.074,124.419,138.143,154.067,130.136,95.375,139.815,148.380,29.619,137.865,154.757,75.292,90.372,178.557,254.375,118.701,133.026
547,180.224,125.949,131.278,115.400,123.503,136.672,53.444,119.873,90.925,75.873,171.296,64.437,18.429,154.319,141.731,50.754,122.395,74.588,218.894,119.210,148.456,512.774,169.350,55.961,74.480,163.834,60.436,34.333,121.873,124.979,32.800,148.036,142.116,35.235,113.656,129.185,134.556,139.180,137.427,159.056,135.738,126.324,502.919,143.395,133.457,446.909,144.344,126.787,112.200,149.982,124.436,150.286,154.101,129.942,108.562,140.129,148.173,52.810,137.510,154.564,98.667,89.860,178.467,195.875,118.702,132.858
548,259.020,125.968,131.337,128.000,123.278,136.542,52.630,120.113,90.634,129.342,171.265,64.569,45.571,154.012,142.103,30.066,122.849,74.824,95.745,119.300,148.564,434.452,169.371,55.962,65.760,163.668,60.898,38.857,122.074,125.277,29.433,147.860,142.046,39.941,113.546,129.146,114.500,139.225,137.501,198.389,135.683,126.153,564.000,143.275,133.415,439.636,144.243,126.871,146.429,150.190,124.321,139.667,154.086,129.992,110.688,140.026,148.335,23.095,137.874,154.818,57.167,90.074,178.365,27.875,118.937,132.974
549,249.755,125.981,131.651,116.300,123.408,136.571,67.815,119.886,90.600,110.025,171.278,64.479,38.429,154.129,142.143,45.869,122.590,74.320,84.213,119.136,148.508,414.968,169.386,56.003,105.333,163.767,60.847,39.095,121.750,125.248,33.133,148.397,142.494,15.412,113.449,129.337,127.056,139.188,137.339,226.333,135.843,125.815,546.649,143.396,133.364,338.182,144.244,126.909,147.371,149.955,124.407,140.905,153.981,130.159,102.812,140.147,148.162,35.190,137.989,154.694,73.792,90.349,178.308,33.469,118.653,132.949
