 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20
368,28.941,260.796,197.402,937.773,162.754,173.124,113.875,257.285,193.525,6.129,259.495,188.146,173.455,169.439,169.493,145.471,247.758,195.791,58.000,246.719,200.704,179.471,242.435,155.733,1760.500,229.136,198.378,508.353,229.589,193.745,228.963,222.229,215.902,158.095,163.626,169.218,100.220,244.625,190.427,150.833,240.165,194.873,457.333,237.807,169.843,286.438,258.369,181.087,58.118,216.287,195.133,49.719,220.886,198.746,22.176,238.103,190.678,531.923,240.621,161.426
369,46.882,260.469,197.403,2514.068,162.722,173.171,69.438,257.582,193.498,1.290,259.594,188.015,293.455,169.477,169.499,195.176,247.664,195.819,138.333,246.508,200.564,160.529,242.604,155.617,959.500,229.051,198.325,346.882,229.584,193.780,225.963,222.253,216.077,347.857,163.561,169.268,96.585,244.564,190.454,162.042,240.292,194.842,442.190,237.741,169.757,310.188,258.471,181.044,53.529,216.077,195.360,56.062,220.509,198.238,62.000,238.603,190.464,529.308,240.747,161.593
370,15.882,260.730,197.253,1379.318,162.800,173.143,136.312,257.132,193.378,23.290,259.836,188.087,252.955,169.390,169.576,197.765,247.661,195.794,81.944,246.601,200.579,217.647,242.313,155.624,577.250,229.141,198.357,240.941,229.757,193.656,150.667,222.255,216.139,158.238,163.651,169.270,111.171,244.653,190.245,186.583,240.222,194.963,532.333,237.702,169.587,280.594,258.352,181.086,55.441,216.215,194.571,101.938,220.779,198.536,41.118,238.525,190.307,504.385,240.677,161.557
371,65.765,260.560,197.081,1492.273,162.768,173.098,128.938,257.218,193.374,17.935,259.367,187.494,235.955,169.505,169.464,119.000,247.989,195.589,122.389,246.554,200.666,159.000,242.616,155.572,223.812,229.069,198.390,244.647,229.469,193.745,243.111,222.383,216.075,257.000,163.733,169.265,118.634,244.397,189.932,118.333,240.131,194.879,450.857,237.704,169.800,340.656,258.475,181.305,66.588,216.343,195.156,47.094,220.430,198.221,43.471,238.492,190.602,497.615,240.644,161.494
372,51.118,260.608,197.230,1716.636,162.763,173.089,60.562,257.242,193.259,15.871,259.208,187.229,203.318,169.549,169.562,201.588,247.726,195.836,125.333,246.507,200.576,140.118,242.700,155.625,314.688,229.152,198.468,385.647,229.544,193.730,204.185,222.249,216.135,390.571,163.751,169.040,84.244,244.416,190.232,115.083,240.294,194.911,448.048,237.829,169.661,342.000,258.430,181.247,46.324,216.150,194.745,60.594,220.570,198.931,50.176,238.252,190.698,431.846,240.789,161.500
373,28.765,260.688,197.898,1446.045,162.761,173.168,81.875,257.338,193.514,29.032,259.788,188.056,209.409,169.466,169.588,237.235,247.851,195.779,112.278,246.546,200.494,99.412,242.476,155.389,301.625,229.059,198.335,961.235,229.585,193.715,171.407,222.350,215.971,327.048,163.710,169.090,88.634,244.551,189.976,139.375,240.258,194.963,407.762,237.844,169.634,292.500,258.379,181.038,55.088,215.882,194.541,62.188,220.939,198.480,72.706,238.606,190.415,454.462,240.736,161.579
374,7.000,260.308,196.468,1601.727,162.698,173.081,147.750,257.421,193.505,39.548,259.711,187.782,244.909,169.360,169.563,285.882,247.817,195.899,150.667,246.635,200.431,145.706,242.697,155.460,578.000,229.087,198.391,2356.706,229.567,193.739,170.704,222.313,215.960,268.857,163.561,169.081,95.463,244.567,190.259,161.208,240.394,195.048,338.190,237.850,169.701,264.688,258.439,181.116,59.912,216.235,195.083,86.062,220.733,198.429,45.000,238.207,190.472,460.462,240.605,161.405
375,26.412,260.679,197.180,527.955,162.743,173.270,62.062,257.120,193.254,53.871,259.701,187.842,240.273,169.484,169.392,204.353,247.723,195.810,139.278,246.416,200.711,201.529,242.650,155.698,427.688,229.109,198.278,1249.882,229.602,193.737,165.407,222.191,216.042,123.762,163.758,168.956,113.415,244.474,190.402,171.250,240.271,194.967,344.810,237.742,169.843,196.844,258.547,180.973,41.912,215.954,195.054,111.812,220.628,198.456,55.941,238.767,190.477,499.538,240.683,161.537
376,42.471,260.916,197.687,170.636,162.965,173.362,134.875,257.037,193.473,13.290,259.577,188.415,312.364,169.468,169.550,283.235,247.678,195.784,85.833,246.755,200.425,129.118,242.495,155.655,366.625,229.080,198.458,839.941,229.530,193.687,152.259,222.352,216.289,83.476,163.645,169.174,102.098,244.715,190.501,242.875,240.236,194.951,497.762,237.792,169.662,161.406,258.579,181.178,64.382,216.101,195.126,83.438,220.770,198.499,22.941,238.656,190.624,562.077,240.671,161.463
377,380.471,260.619,197.313,206.864,162.732,173.330,117.062,257.267,193.620,6.065,259.632,187.886,204.500,169.538,169.441,247.882,247.588,195.972,101.889,246.614,200.702,163.765,242.623,155.656,296.938,229.015,198.328,397.176,229.580,193.789,220.889,222.346,216.238,144.810,163.767,168.848,78.463,244.586,190.054,98.542,240.289,195.110,509.714,237.656,169.780,256.844,258.321,181.209,50.235,215.914,195.219,85.000,220.385,198.217,70.235,238.608,190.455,489.000,240.677,161.429
378,219.941,260.583,197.059,144.045,162.618,173.093,136.062,257.416,193.605,7.742,259.664,187.914,218.364,169.400,169.704,210.765,247.826,195.691,116.722,246.440,200.427,184.000,242.381,155.582,286.375,229.027,198.453,382.294,229.543,193.742,185.963,222.281,216.053,167.238,163.735,169.038,118.854,244.627,190.150,109.792,240.083,194.862,451.762,237.738,169.693,204.406,258.471,181.107,72.235,215.997,195.136,140.156,220.597,198.296,90.235,238.740,190.427,508.385,240.706,161.537
