 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27
500,145.773,56.378,107.952,17.136,74.735,144.164,37.278,73.485,168.158,181.882,61.041,101.655,86.333,85.655,171.711,126.765,62.545,96.205,18.500,34.274,92.280,220.270,41.693,108.712,58.529,53.109,60.131,83.647,65.144,162.394,85.385,84.131,132.211,21.161,87.193,161.140,70.571,78.633,136.095,58.824,58.582,52.827,89.892,49.321,110.058,73.846,44.680,112.173,202.773,50.147,143.589,31.750,72.063,141.354,37.882,80.804,125.759,71.000,69.229,160.019,37.118,65.437,139.356,104.583,56.097,56.129,182.300,69.103,164.430,20.438,73.860,151.669,36.078,82.839,97.241,200.372,79.085,131.968,68.667,59.722,146.593
501,143.636,56.240,107.621,25.364,75.019,144.064,36.667,73.300,168.213,172.667,60.880,101.452,91.722,85.628,171.508,135.765,62.712,95.980,33.222,34.168,92.523,151.514,41.731,108.793,91.118,53.054,60.255,81.471,64.955,162.514,134.462,84.232,131.781,30.258,87.244,161.200,98.286,78.677,136.166,32.353,58.201,52.980,120.811,49.225,110.043,71.385,44.593,111.923,188.000,50.213,143.453,45.250,72.408,141.514,43.882,80.720,125.870,66.438,69.439,160.196,25.412,65.773,139.177,7.917,55.570,56.307,47.800,69.180,164.257,54.688,73.713,151.358,22.000,83.084,96.640,152.407,79.222,131.936,57.286,59.867,146.793
502,103.545,56.078,107.759,44.364,75.055,143.596,21.111,73.317,168.507,158.706,60.877,101.602,70.278,85.474,171.120,168.176,62.596,96.125,9.722,34.503,92.002,162.270,41.531,108.603,61.176,52.988,59.954,144.706,64.913,162.514,1064.538,84.102,132.045,27.161,87.035,160.888,56.667,78.441,136.045,43.588,58.765,52.891,125.189,49.102,109.989,68.923,44.969,111.752,234.364,50.158,143.609,15.875,72.507,141.120,1.882,81.065,125.705,74.812,69.838,160.061,29.235,65.533,139.254,58.917,55.912,56.226,46.900,69.173,164.425,54.750,73.725,151.773,7.529,83.819,96.757,163.575,79.232,131.842,76.143,59.548,146.501
503,96.818,56.152,107.611,54.318,74.892,143.609,74.889,73.340,168.533,166.392,60.917,101.559,96.667,85.646,171.336,180.059,62.625,95.998,12.722,33.732,92.022,185.135,41.681,108.674,78.588,52.893,59.568,106.647,64.906,162.858,332.769,84.154,132.109,25.290,86.935,160.810,77.048,78.610,135.848,80.882,58.981,53.285,82.108,49.247,110.113,23.308,44.971,112.292,216.136,50.263,143.706,29.375,72.591,141.193,36.706,80.814,125.892,58.250,69.333,160.184,23.941,65.366,139.184,80.833,55.910,56.289,94.400,69.197,164.566,57.625,73.756,151.598,17.843,83.331,96.379,170.584,79.094,132.048,151.381,59.596,146.452
504,138.045,56.002,107.557,46.500,74.685,143.596,28.556,73.538,168.003,169.020,60.967,101.606,66.444,85.544,171.691,264.765,62.687,95.882,6.833,34.220,92.684,173.459,41.784,108.703,63.588,52.938,60.156,129.235,65.021,162.266,150.923,84.163,132.173,63.871,87.017,160.989,34.952,78.530,136.069,15.588,58.468,53.153,89.892,49.285,110.096,50.154,44.866,112.026,217.409,50.202,143.543,70.375,72.501,141.252,38.824,80.614,126.273,81.000,69.565,160.627,24.176,65.511,139.402,76.750,56.013,56.112,64.200,69.229,164.117,86.750,73.852,151.647,28.275,83.653,97.213,332.407,79.599,131.588,83.952,59.405,146.407
505,99.545,56.071,107.795,35.091,75.084,143.759,47.111,73.456,168.437,232.118,61.027,101.570,124.278,85.632,171.336,139.000,62.576,95.956,39.944,34.416,92.282,221.297,41.564,108.503,38.647,53.254,60.254,51.471,64.798,162.375,156.846,84.181,131.950,25.613,87.481,160.914,7.333,78.046,135.722,48.412,58.737,53.028,123.676,49.102,110.099,50.846,44.892,112.130,190.273,50.049,143.674,86.500,72.569,141.504,5.412,81.375,125.705,29.250,69.213,160.609,31.353,65.106,139.285,90.583,55.922,56.298,83.300,69.286,164.208,23.938,73.152,151.552,20.039,83.168,96.593,1171.620,79.609,131.510,143.143,59.592,146.752
506,133.500,56.293,107.884,28.682,75.071,143.862,32.944,73.415,168.207,142.863,60.968,101.374,51.944,85.556,171.281,186.059,62.560,95.870,22.333,33.961,92.075,237.027,41.633,108.729,131.412,53.125,59.861,131.059,64.919,162.542,170.692,84.121,132.300,19.871,87.245,160.508,48.857,78.477,135.907,67.353,58.932,53.029,87.784,49.224,109.737,27.692,44.711,111.467,226.273,50.261,143.680,42.500,72.763,141.417,47.059,81.075,126.042,71.062,69.217,160.280,40.765,65.520,139.024,93.250,55.692,56.089,134.500,69.238,164.210,49.562,74.364,151.536,14.196,83.559,96.698,352.903,79.387,131.632,82.762,59.650,146.658
507,117.818,56.094,107.701,56.864,74.876,143.699,22.500,73.265,168.043,163.451,61.097,101.470,20.444,85.527,171.233,182.647,62.601,96.108,30.556,34.187,92.143,214.649,41.884,108.731,72.529,52.786,59.930,90.176,64.809,162.206,106.769,84.202,132.065,36.452,87.184,160.908,33.905,78.562,136.339,47.176,58.483,53.214,127.622,49.178,109.759,84.923,44.721,112.153,303.227,50.242,143.735,50.500,72.464,141.309,33.176,81.072,126.173,75.125,69.408,160.244,27.941,65.774,139.207,83.750,56.079,56.241,124.000,69.044,164.471,58.625,74.022,151.716,17.176,83.860,97.031,249.080,79.446,131.622,48.714,59.724,146.773
508,146.500,56.063,107.722,54.091,74.530,143.610,37.611,73.516,168.803,145.333,61.041,101.540,40.556,85.473,171.363,136.000,62.544,95.995,76.889,34.214,92.114,158.486,41.668,108.757,95.471,53.002,60.026,104.412,65.060,162.782,161.385,84.156,132.132,31.419,87.269,160.851,34.286,78.794,135.726,38.941,58.616,52.952,115.514,49.112,110.026,49.615,44.923,111.869,1185.727,50.155,143.617,51.125,72.518,141.673,34.235,80.311,125.942,47.562,69.428,160.421,14.412,65.502,139.411,26.000,56.164,56.168,86.300,69.145,164.111,38.812,73.685,151.798,31.373,83.149,96.862,149.611,79.129,131.912,74.333,59.405,146.369
509,142.500,56.135,107.771,49.045,75.115,143.752,53.611,73.342,168.412,204.941,60.837,101.572,60.889,85.559,171.816,109.118,62.601,95.900,53.000,34.447,92.348,174.703,41.730,108.532,80.529,52.979,59.922,128.941,65.022,162.457,63.615,83.897,132.158,31.613,87.400,161.179,61.714,78.772,136.011,40.529,59.000,52.983,128.649,48.965,109.981,96.231,44.865,111.817,229.318,50.328,143.863,61.625,72.582,141.297,18.471,80.980,126.116,38.625,69.201,160.293,29.706,65.614,139.216,71.583,56.093,56.317,136.700,68.993,164.353,54.312,73.768,151.575,37.529,83.259,97.024,144.708,79.268,131.855,61.810,59.867,146.466
