 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
537,34.955,108.046,69.868,158.157,118.210,87.260,37.625,124.487,89.299,144.882,124.607,105.707,27.400,149.789,119.522,212.516,118.332,107.388,215.812,119.951,110.725,136.059,102.355,137.051,406.882,112.559,94.711,33.412,128.367,98.700,53.500,131.146,93.247,37.222,107.646,64.162,134.056,98.006,68.433
538,78.955,107.531,69.976,208.235,118.256,87.277,36.312,124.162,89.436,160.529,124.317,105.681,73.100,149.526,118.841,241.871,118.358,107.182,227.125,120.012,110.991,121.824,102.445,137.081,384.235,112.611,94.870,32.824,128.341,98.874,87.214,130.846,92.792,54.556,107.274,64.002,125.611,97.802,68.466
539,34.682,107.578,70.159,185.647,118.365,87.201,32.375,124.530,89.226,203.294,124.413,105.575,66.500,149.909,119.039,254.516,118.135,107.206,251.000,120.002,111.033,94.353,102.453,137.224,490.941,112.550,94.755,65.706,128.314,98.269,42.714,131.030,93.280,70.167,107.345,64.252,140.111,97.981,68.492
540,49.182,107.672,69.622,222.118,118.426,87.244,75.250,124.385,89.241,158.765,124.584,105.733,69.700,149.775,118.845,176.839,118.335,107.409,270.750,119.873,110.854,136.882,102.627,136.996,640.000,112.464,94.705,38.824,128.533,98.527,52.500,130.835,93.449,63.278,107.247,63.862,117.889,98.331,68.367
541,43.545,107.691,69.890,696.745,118.251,87.265,54.125,124.536,89.481,191.412,124.472,105.799,18.500,149.625,118.935,174.774,118.236,107.111,290.000,119.959,111.066,85.471,102.407,136.998,850.647,112.567,94.737,56.765,128.137,98.728,50.786,130.972,93.288,78.833,107.210,64.433,145.667,98.032,68.781
542,603.273,107.869,69.788,636.000,118.390,87.261,66.875,124.290,89.399,176.529,124.515,105.584,65.300,149.493,119.513,210.581,118.284,107.209,304.188,120.061,110.960,119.647,102.379,136.910,864.647,112.576,94.747,58.529,128.467,98.545,24.000,130.641,92.958,62.667,107.230,64.271,135.167,98.160,68.599
543,492.682,107.865,69.938,363.922,118.275,87.370,30.812,124.678,89.378,257.118,124.407,105.788,45.000,149.771,119.064,208.968,118.358,107.417,255.750,119.951,111.001,131.000,102.413,137.152,641.471,112.557,94.798,48.118,128.309,98.556,82.929,130.950,92.604,54.056,107.187,64.194,153.889,97.900,68.250
544,249.182,107.758,69.940,466.980,118.341,87.331,51.125,124.551,89.080,247.294,124.615,105.884,63.100,149.479,118.951,248.194,118.344,107.189,302.000,119.856,111.004,113.706,102.421,137.158,746.176,112.490,94.706,35.412,128.448,98.256,35.929,130.778,93.090,30.000,107.248,64.451,81.667,97.908,68.650
545,476.045,107.966,69.852,563.961,118.185,87.214,44.500,124.624,89.387,233.529,124.458,105.932,40.100,149.694,118.713,188.903,118.365,107.048,241.688,120.039,111.085,59.176,102.578,136.926,576.176,112.479,94.821,29.882,128.223,98.515,22.786,130.864,92.497,37.056,107.076,64.029,160.778,97.785,68.489
546,291.909,107.835,69.953,304.118,118.158,87.223,20.688,124.242,88.959,214.235,124.435,105.601,49.800,149.730,118.961,241.548,118.268,107.240,279.125,120.005,111.091,88.353,102.493,136.681,793.647,112.555,94.777,30.412,128.671,98.218,44.500,131.039,93.071,61.333,107.003,64.103,127.722,97.919,68.420
