 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26
273,114.645,91.982,96.258,389.067,75.307,72.643,814.619,86.628,101.711,787.233,86.554,94.952,331.000,106.957,97.458,219.308,105.452,103.121,46.657,125.364,119.190,2486.514,102.858,93.362,110.227,100.297,103.175,212.971,126.952,106.462,92.738,55.768,66.973,537.000,132.390,104.524,22.516,36.511,58.297,63.647,132.082,123.100,19.864,138.115,111.102,349.875,55.356,61.098,763.600,80.668,141.798,225.091,89.772,137.170,259.294,64.745,49.798,79.875,69.772,63.538,75.548,58.697,56.802,24.278,125.430,112.473,311.730,115.068,119.468,52.741,126.044,123.871,41.857,80.530,84.076,65.325,101.980,119.582
274,786.516,92.190,95.925,352.633,75.385,72.649,861.546,86.681,101.686,904.600,86.617,94.979,296.667,107.131,97.526,99.615,105.656,103.072,36.257,125.565,119.236,1903.056,102.967,93.389,142.636,100.460,103.138,255.086,126.764,106.570,68.619,55.544,66.758,613.692,132.514,104.657,30.968,36.921,58.692,21.353,131.884,123.925,11.000,138.161,111.619,489.688,55.404,61.308,717.833,80.629,141.722,105.773,89.801,137.343,255.706,64.701,49.815,91.312,69.734,63.780,103.226,58.780,56.692,106.222,125.264,112.262,278.973,114.995,119.477,42.815,126.179,123.574,31.333,80.629,83.795,79.775,101.818,119.695
275,877.226,92.205,95.996,354.100,75.372,72.648,952.639,86.579,101.707,868.233,86.651,94.983,248.889,106.998,97.370,131.769,105.375,103.219,71.571,125.490,119.161,1803.278,102.893,93.431,2084.091,100.253,103.224,182.257,127.033,106.414,67.429,55.575,67.129,389.538,132.466,104.601,26.258,36.684,58.043,25.294,131.598,123.988,46.545,137.713,111.061,358.125,55.359,61.048,480.500,80.591,141.846,65.500,89.604,137.543,266.353,64.676,49.778,83.406,69.788,63.824,142.645,58.756,56.913,78.333,125.367,112.404,375.081,115.145,119.470,55.630,126.000,123.851,68.905,80.706,83.905,76.075,102.054,119.896
276,777.677,92.183,95.977,335.667,75.292,72.752,820.577,86.642,101.746,736.900,86.627,94.967,201.000,106.892,97.424,113.846,105.317,103.148,56.171,125.310,119.024,1505.139,102.945,93.395,1657.591,100.260,103.181,204.914,126.803,106.817,94.524,55.732,67.217,298.308,132.404,104.622,8.065,37.236,58.708,52.176,131.899,123.599,38.545,137.862,111.218,403.125,55.332,61.143,419.333,80.684,141.746,33.318,89.641,137.066,156.412,64.890,49.494,61.969,70.032,63.761,160.516,58.595,56.883,49.056,125.433,112.595,198.649,115.197,119.475,52.222,126.270,123.852,69.857,80.209,84.282,34.175,102.129,119.074
277,899.484,92.198,96.045,301.367,75.335,72.704,865.443,86.677,101.604,892.333,86.618,95.017,209.278,107.004,97.531,93.923,105.658,103.056,46.686,125.338,119.304,1313.917,103.008,93.312,1268.818,100.327,103.213,263.429,126.888,106.646,73.619,55.746,66.720,348.923,132.391,104.446,8.194,36.779,58.254,40.706,131.937,123.658,23.773,137.871,111.229,481.312,55.374,61.152,565.367,80.609,141.707,16.636,89.933,137.396,173.176,64.812,49.691,36.281,69.776,64.074,150.387,58.571,56.714,56.833,125.702,112.250,273.297,115.035,119.506,73.889,125.983,123.562,46.095,80.590,84.041,56.675,101.853,119.804
278,527.290,92.142,95.991,303.567,75.227,72.748,889.320,86.690,101.687,779.567,86.599,95.073,164.611,106.959,97.397,113.692,105.200,103.123,32.914,125.523,119.320,1217.056,102.960,93.357,1152.545,100.273,103.206,230.114,126.950,106.687,93.262,55.546,66.994,334.692,132.524,104.617,23.742,36.543,58.837,63.471,132.108,123.412,6.955,137.913,110.758,422.062,55.348,61.148,339.567,80.592,141.789,7.273,89.751,137.365,232.706,64.918,49.742,48.281,69.746,63.190,131.935,58.985,56.808,27.222,125.546,112.120,258.865,115.032,119.505,54.000,126.230,123.959,20.905,80.624,84.213,93.650,101.878,119.694
279,321.935,92.233,96.064,319.467,75.322,72.633,827.299,86.645,101.657,788.300,86.670,94.966,187.389,107.273,97.646,82.846,105.399,103.052,40.114,125.223,119.494,1094.028,102.901,93.412,1316.182,100.253,103.151,206.400,126.895,106.708,132.262,55.548,66.911,412.154,132.422,104.582,42.516,36.655,58.431,44.588,131.973,123.129,35.591,137.871,111.196,570.062,55.325,61.077,197.267,80.808,141.817,13.182,90.064,137.673,294.059,64.893,49.723,60.312,69.818,63.481,95.226,58.808,56.786,100.167,125.702,112.371,228.649,115.196,119.697,24.815,126.089,123.639,30.524,80.466,83.896,68.825,101.956,119.454
280,731.161,92.187,95.887,193.000,75.280,72.646,944.825,86.581,101.666,768.800,86.677,94.981,189.000,106.988,97.543,152.692,105.551,103.058,76.743,125.715,118.843,1003.361,102.923,93.353,1067.909,100.354,103.252,261.571,126.868,106.619,124.881,55.504,66.648,195.538,132.415,104.642,6.194,37.203,58.910,26.059,132.202,123.606,23.545,137.513,111.471,4095.000,55.335,61.070,61.267,80.552,141.822,14.636,90.150,137.718,250.941,64.708,49.689,74.719,69.850,63.612,154.452,58.686,56.538,85.000,125.607,112.315,150.270,115.267,119.423,42.407,126.024,123.695,49.095,80.596,84.078,58.750,101.778,119.489
281,354.710,92.246,95.971,111.300,75.292,72.950,905.938,86.643,101.733,845.067,86.653,95.032,105.722,107.426,97.916,118.154,105.459,103.264,23.371,125.177,118.657,375.639,102.901,93.246,231.136,100.268,103.322,229.486,126.926,106.599,136.048,55.511,66.785,251.538,132.336,104.614,7.871,36.758,58.145,38.412,131.701,123.390,12.955,137.271,111.579,3928.688,55.325,61.088,67.533,80.802,141.837,21.045,89.578,137.241,418.824,64.747,49.831,75.938,69.690,63.688,149.161,58.690,56.921,60.000,125.736,112.276,164.270,115.097,119.599,66.667,126.353,123.832,45.714,80.565,83.878,64.225,101.866,119.782
282,127.032,92.087,96.270,35.967,75.432,72.882,852.701,86.573,101.666,723.500,86.651,94.974,46.444,107.154,97.947,118.615,105.192,103.347,40.114,125.252,119.641,125.861,102.937,93.264,147.182,100.330,103.109,191.371,126.986,106.839,96.929,55.745,66.819,220.615,132.300,104.648,12.645,36.828,58.848,67.647,131.873,123.678,39.682,137.610,111.228,3595.250,55.324,61.110,44.067,80.345,142.101,28.273,89.753,137.326,458.059,64.856,49.800,62.031,69.719,63.376,211.871,58.808,56.586,48.667,125.630,112.412,161.189,115.172,119.529,93.222,126.395,124.111,74.762,80.511,84.117,87.450,101.695,119.869
