 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12
84,38.909,90.858,86.042,18.500,52.696,72.243,46.762,66.091,42.136,92.762,52.426,75.874,34.235,45.955,78.780,43.083,30.265,109.440,31.000,25.654,106.701,31.500,29.174,114.461,21.769,46.628,104.019,69.429,89.686,91.472,71.667,49.734,104.478,35.700,94.164,94.574
85,109.273,90.696,85.984,102.750,52.722,72.199,53.714,66.180,41.929,64.857,52.230,75.820,28.471,45.455,78.641,33.000,29.996,109.407,77.375,25.742,106.641,52.250,29.141,113.987,49.077,46.480,103.939,66.000,89.888,91.519,60.333,49.665,104.461,29.500,94.194,94.341
86,66.545,90.838,85.981,60.500,52.507,71.949,58.857,66.113,42.028,72.571,52.400,76.020,43.412,45.443,78.793,81.250,30.095,109.500,54.375,25.752,107.029,85.750,29.128,114.055,40.077,46.802,103.968,31.143,89.854,91.565,67.083,49.644,104.379,31.000,94.080,94.387
87,23.636,90.980,85.846,96.250,52.452,72.128,22.381,66.101,42.084,59.619,52.280,75.898,38.706,45.783,78.799,55.667,29.950,109.423,67.750,25.739,106.772,127.250,29.125,114.117,28.385,46.616,104.197,99.429,89.714,91.635,29.583,49.753,104.331,26.900,94.171,94.468
88,53.818,90.711,86.107,34.750,52.790,72.010,43.143,66.053,42.005,67.143,52.228,76.192,31.765,45.549,78.890,15.333,29.768,108.758,29.625,25.677,106.986,61.500,29.115,114.452,65.308,46.478,103.972,66.000,89.711,91.639,42.333,49.676,104.290,27.000,94.134,94.823
89,69.636,91.044,86.107,43.750,52.545,72.342,26.476,66.145,41.909,53.238,52.253,75.951,58.353,45.705,78.944,29.250,29.930,109.473,45.750,25.713,106.744,46.750,29.134,114.283,43.077,46.476,104.012,34.190,89.750,91.431,57.667,49.842,104.442,29.200,94.342,94.854
90,155.818,90.650,86.100,59.750,52.555,72.316,57.048,66.329,41.993,26.286,52.572,75.898,47.647,46.106,78.835,30.167,30.143,109.216,44.125,25.650,106.629,32.750,29.177,114.183,79.154,46.534,104.216,47.429,89.932,91.779,16.750,49.963,104.475,14.600,94.546,94.777
91,82.727,90.753,85.885,8.750,52.545,72.057,43.714,66.111,42.045,42.952,52.295,76.233,33.176,45.700,79.052,50.750,30.099,109.338,58.250,25.725,106.591,25.750,29.126,114.130,45.769,46.415,103.786,38.286,89.569,91.735,61.750,49.880,104.527,43.500,94.123,94.491
92,84.182,90.743,86.112,41.000,52.583,72.519,64.857,66.082,41.996,38.000,52.362,76.251,29.412,45.404,78.740,56.167,30.152,109.155,50.875,25.778,106.750,34.500,29.003,113.655,45.154,46.378,103.858,54.762,89.643,91.718,81.250,49.871,104.528,30.700,94.326,94.562
93,36.545,90.582,86.104,65.500,52.416,72.374,77.048,65.942,41.947,28.381,52.430,75.972,61.412,45.622,78.937,36.833,29.998,109.432,43.500,25.684,107.047,41.750,29.254,113.823,80.538,46.349,103.997,55.714,89.793,91.858,59.250,49.884,104.399,50.600,93.939,94.642
94,105.455,90.728,85.962,101.750,52.542,72.347,48.857,66.054,42.041,61.238,52.113,76.279,27.059,45.889,78.731,40.083,30.178,109.312,49.250,25.614,106.962,19.250,29.190,113.792,25.692,46.810,104.022,48.286,89.774,91.943,53.833,49.640,104.592,20.600,94.339,94.726
95,68.545,90.772,86.036,37.250,52.678,72.173,23.333,66.406,41.724,38.381,52.145,75.952,25.529,45.795,78.756,17.083,30.198,109.754,85.000,25.780,107.029,74.000,29.219,113.693,35.692,46.656,103.977,94.571,89.673,91.435,59.333,49.915,104.379,45.000,94.471,94.782
96,97.091,90.748,86.106,18.750,52.545,71.963,57.238,65.965,42.027,89.714,52.216,75.929,68.471,45.449,78.830,61.750,29.956,109.599,51.625,25.673,106.550,59.250,29.113,113.903,25.538,46.623,103.719,41.143,89.883,91.703,92.583,49.880,104.515,25.600,94.499,94.670
97,66.000,90.708,85.942,47.250,52.622,72.219,61.714,66.161,41.845,12.667,52.212,76.026,16.000,45.812,78.941,14.167,29.733,109.060,47.875,25.695,106.646,57.000,29.143,114.054,55.538,46.423,104.108,84.286,89.768,91.439,20.417,49.884,104.240,33.300,94.245,94.467
98,88.364,90.911,86.128,32.000,52.533,72.266,52.857,66.221,41.926,83.333,52.380,76.209,44.706,45.674,79.111,32.167,30.196,109.081,94.500,25.689,106.693,68.500,29.135,114.227,51.923,46.616,104.033,79.333,89.674,91.565,81.667,49.808,104.377,50.400,94.210,94.845
99,26.727,90.707,85.892,101.000,52.539,72.173,55.429,66.153,41.989,40.286,52.065,76.161,34.353,45.295,79.005,42.417,29.855,109.097,73.625,25.617,106.783,118.750,29.116,114.003,61.923,46.494,104.116,64.857,89.801,91.599,71.333,49.809,104.404,41.800,94.221,94.807
100,63.455,90.674,85.783,60.250,52.631,72.339,35.429,66.161,41.791,29.333,52.165,75.884,48.471,45.561,78.754,31.500,30.008,109.192,45.250,25.760,106.769,75.750,29.026,114.190,62.000,46.319,103.983,58.095,89.668,91.695,30.417,49.910,104.365,32.200,94.202,94.788
