 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
168,135.765,77.190,76.060,203.833,94.700,85.157,196.500,100.597,83.017,91.692,87.250,77.064,51.750,80.979,60.132,44.769,92.612,55.223,13.500,70.387,66.110,10.538,101.500,64.560,30.545,86.734,47.233,35.692,94.641,61.393,44.167,106.739,118.359,96.833,100.022,89.380,168.769,86.706,88.333
169,103.647,77.313,76.099,307.500,94.639,85.469,154.000,100.538,83.057,86.846,87.222,77.029,36.375,80.896,60.219,34.385,92.710,55.015,21.750,69.932,65.909,22.615,101.509,64.427,22.182,86.917,46.988,31.846,94.697,61.641,30.833,106.770,118.525,117.167,100.114,89.248,138.385,86.631,88.375
170,138.000,77.112,76.199,128.667,94.572,85.315,108.250,100.558,83.119,78.077,87.303,76.701,22.125,81.199,60.003,20.923,92.823,54.951,29.500,70.110,65.820,7.923,101.784,64.156,20.727,86.607,47.191,45.615,94.602,61.478,18.833,106.680,118.295,205.000,99.988,89.161,147.846,86.665,88.404
171,106.118,77.211,76.082,140.833,94.544,85.135,159.500,100.600,83.139,89.308,87.490,76.633,38.562,80.784,60.105,24.385,92.806,54.958,30.500,70.169,65.914,24.692,101.209,64.427,44.545,86.508,46.832,53.077,94.736,61.299,38.833,106.762,118.169,38.167,100.211,89.144,203.231,86.599,88.284
172,64.824,77.266,76.039,124.500,94.492,85.355,121.750,100.557,82.971,78.231,87.334,76.801,35.938,80.563,59.787,36.923,92.623,55.054,17.625,70.072,66.134,33.000,101.615,64.472,51.273,86.755,46.759,27.077,94.753,61.563,29.667,106.847,118.197,75.000,100.154,89.252,168.000,86.739,88.391
173,99.412,77.252,76.212,164.833,94.512,85.277,89.250,100.562,82.981,66.692,87.182,76.936,45.188,81.066,60.159,17.077,92.703,54.842,27.625,70.343,65.902,38.615,101.506,64.338,12.727,86.725,47.293,30.308,94.640,60.968,22.333,106.654,118.591,75.833,99.997,89.274,199.846,86.629,88.297
174,86.118,77.286,76.095,143.333,94.604,85.194,223.000,100.600,83.229,88.308,86.946,76.665,52.000,81.106,60.287,29.077,92.852,55.193,39.125,70.295,66.006,72.615,101.396,64.727,37.455,86.818,46.848,55.231,94.676,61.312,44.833,106.351,118.545,104.167,100.110,89.210,188.077,86.557,88.337
175,101.882,77.247,76.145,120.667,94.706,85.280,236.000,100.653,83.063,95.308,87.175,77.004,45.438,80.761,60.213,35.000,92.495,55.208,35.125,69.984,65.776,31.923,101.449,64.416,60.727,86.642,46.975,119.000,94.756,61.491,26.000,106.604,118.597,131.333,100.192,89.195,195.538,86.585,88.267
176,120.353,77.359,76.189,89.333,94.605,85.325,193.500,100.692,82.958,77.077,87.229,76.868,60.438,80.797,60.067,52.846,92.658,54.654,16.250,69.857,65.985,47.846,101.431,64.203,53.636,86.760,46.687,102.769,94.817,61.236,17.167,106.425,118.244,92.167,100.208,89.191,133.769,86.594,88.368
177,243.647,77.228,76.143,164.500,94.572,85.220,208.250,100.597,83.007,74.385,87.489,76.654,42.250,80.969,59.934,28.462,92.713,55.090,24.625,70.053,65.692,45.077,101.348,64.750,38.545,86.481,46.958,116.385,94.711,61.483,38.000,106.758,118.673,69.000,100.038,89.319,209.385,86.634,88.344
