 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23
352,244.667,90.451,137.559,16.875,83.272,119.996,35.769,69.298,89.154,81.667,50.645,50.609,73.750,53.703,55.595,155.500,90.431,130.860,58.333,101.661,124.320,91.625,59.163,64.711,76.800,93.959,130.067,73.000,96.382,91.565,46.778,57.327,75.272,36.667,78.514,123.770,102.500,85.511,77.956,96.235,89.490,90.885,122.000,86.009,135.068,149.800,98.936,125.238,85.667,93.700,125.495,301.125,89.660,107.629,152.727,84.553,97.146,57.250,84.705,67.855,37.077,63.711,93.925,222.667,110.205,118.987,57.636,94.106,107.653
353,153.778,90.508,137.616,20.625,83.184,119.960,64.615,69.199,89.412,34.167,50.621,50.439,75.500,53.884,55.604,118.667,90.611,130.855,71.333,101.865,124.587,34.875,59.182,64.447,74.000,94.021,130.365,75.500,96.521,91.758,30.167,57.750,74.726,84.000,78.496,124.046,31.833,85.837,78.007,138.588,89.487,91.003,109.250,86.072,135.110,145.400,98.825,125.411,140.667,93.519,125.584,210.125,89.659,107.670,239.636,84.503,97.162,28.250,84.566,67.639,39.000,63.615,93.685,305.667,110.205,119.097,73.636,94.071,107.928
354,93.556,90.393,137.397,45.000,82.927,119.919,38.538,69.453,89.256,56.500,50.533,50.661,84.750,53.836,55.347,92.500,90.772,130.729,142.667,101.693,124.658,78.625,59.155,64.636,108.000,93.917,129.930,68.000,96.466,91.790,26.556,57.379,74.911,40.889,78.489,123.885,93.500,85.776,77.825,190.471,89.410,91.032,115.250,86.155,135.254,70.000,98.894,125.309,58.000,93.719,125.564,291.125,89.714,107.543,208.727,84.466,97.185,118.750,84.732,67.697,43.692,63.693,93.905,184.000,110.205,118.932,106.364,94.003,107.851
355,134.444,90.422,137.468,42.000,83.193,119.982,98.923,69.310,89.311,40.833,50.376,50.543,52.750,53.742,55.253,96.500,90.306,130.750,125.667,101.518,124.532,71.625,59.168,64.603,75.600,93.919,130.389,105.000,96.551,91.995,36.389,57.169,75.068,41.778,78.478,123.809,93.667,85.630,78.022,88.588,89.448,90.899,51.750,86.113,135.222,163.000,98.854,125.401,84.000,93.617,125.596,321.500,89.747,107.516,140.909,84.463,97.250,9.000,84.553,67.968,62.154,63.428,93.851,206.333,110.205,119.266,41.818,94.221,107.934
356,176.444,90.248,137.329,28.750,83.406,120.202,95.385,69.265,89.263,15.167,50.375,50.399,36.750,53.701,55.518,191.500,90.533,130.832,123.167,101.596,124.727,52.250,59.241,64.806,99.000,93.930,130.266,38.000,96.500,91.866,33.500,57.366,74.853,66.222,78.842,123.709,60.500,85.455,77.552,213.412,89.316,91.027,99.000,85.991,135.127,107.600,98.923,125.485,143.333,93.523,125.352,325.250,89.682,107.717,195.818,84.530,97.371,27.500,84.870,67.572,41.462,63.638,94.060,205.000,110.205,118.910,74.727,93.898,108.029
357,98.000,90.423,137.401,22.375,82.814,119.973,36.077,69.317,89.168,60.167,50.293,50.657,53.000,53.811,55.449,149.833,90.567,130.773,92.500,101.624,124.545,87.875,59.240,64.523,97.600,93.959,129.809,42.500,96.589,91.647,51.333,57.609,74.726,44.000,78.774,123.682,66.833,85.577,77.953,161.176,89.494,91.052,46.750,86.075,135.071,92.600,98.970,125.322,125.333,93.607,125.491,249.875,89.699,107.494,185.091,84.528,97.127,72.500,84.567,67.823,26.077,63.111,93.767,314.667,110.205,119.074,63.455,94.091,107.623
358,200.000,90.401,137.526,59.500,83.160,119.887,78.077,69.165,89.313,44.833,50.486,50.694,63.750,53.728,55.726,1370.333,90.560,130.846,109.333,101.542,124.482,84.375,59.028,64.738,65.600,93.911,130.503,136.750,96.533,91.588,26.778,57.074,74.929,25.556,78.577,123.748,117.500,85.675,77.893,101.176,89.463,90.713,101.500,85.980,134.979,134.400,98.862,125.284,75.667,93.810,125.746,331.125,89.676,107.582,190.545,84.561,97.187,21.750,84.500,67.710,46.692,63.578,93.996,208.333,110.205,119.142,132.000,93.965,107.601
359,167.778,90.420,137.296,19.750,82.880,119.595,75.462,69.410,89.333,44.500,50.648,50.348,125.250,53.723,55.550,1111.167,90.530,130.784,127.667,101.512,124.689,59.125,58.970,64.549,51.200,93.860,130.133,23.000,96.565,91.790,41.278,57.351,74.864,79.333,78.645,123.895,77.667,85.605,77.761,162.353,89.432,91.066,105.000,85.923,135.226,136.200,98.919,125.372,194.667,93.589,125.679,243.500,89.759,107.582,185.636,84.468,97.365,14.000,84.613,67.635,59.846,63.813,93.790,287.333,110.205,118.838,64.727,94.159,107.727
360,170.000,90.386,137.538,55.875,82.987,120.087,65.385,69.258,89.237,47.000,50.406,50.398,96.500,53.743,55.366,503.500,90.548,130.800,185.000,101.731,124.687,78.000,59.223,64.633,67.600,93.891,130.029,65.500,96.410,91.519,42.500,57.247,74.662,16.667,78.630,123.680,91.833,85.611,77.696,131.059,89.438,91.008,110.250,86.066,135.157,182.200,98.932,125.298,95.167,93.570,125.628,199.375,89.700,107.655,255.818,84.419,97.173,21.750,85.063,67.735,47.462,63.327,93.701,299.333,110.205,119.013,39.091,94.037,107.688
361,231.333,90.482,137.416,122.250,82.899,120.023,71.077,69.281,89.416,76.667,50.526,50.475,105.000,53.753,55.546,470.000,90.509,130.837,145.500,101.816,124.553,52.125,59.210,64.674,84.800,93.983,130.448,58.250,96.647,91.811,48.111,57.394,75.187,22.444,78.453,124.060,104.167,85.679,77.667,118.353,89.405,91.080,77.250,85.953,135.086,114.600,98.954,125.612,163.167,93.635,125.509,243.000,89.730,107.496,176.182,84.348,97.283,49.000,84.575,67.521,60.615,63.646,93.855,271.333,110.205,118.817,43.273,93.892,107.501
362,185.111,90.454,137.496,64.500,82.926,119.948,105.769,69.300,89.317,77.167,50.599,50.467,41.000,54.059,55.645,178.500,90.491,130.807,120.000,101.724,124.560,54.375,59.174,64.656,63.800,93.836,130.383,67.250,96.574,91.653,32.278,57.301,74.938,66.889,78.665,123.631,99.000,85.520,77.817,152.000,89.355,90.938,60.000,86.091,135.108,104.600,98.902,125.460,87.833,93.613,125.611,188.750,89.778,107.477,214.000,84.494,97.125,41.500,84.641,67.531,55.308,63.569,93.857,329.667,110.205,119.144,54.727,94.107,107.687
363,186.000,90.384,137.417,50.750,82.927,119.937,56.231,69.142,89.115,45.500,50.424,50.370,72.250,53.661,55.514,165.500,90.499,130.963,49.167,101.474,124.509,70.625,59.249,64.792,108.200,93.934,130.124,71.500,96.529,91.797,41.000,57.182,74.826,32.000,78.630,123.755,64.833,85.537,78.026,69.647,89.408,90.722,145.500,86.035,135.028,113.200,98.910,125.303,116.833,93.765,125.368,237.250,89.704,107.511,205.455,84.563,97.263,33.500,84.813,67.684,20.538,63.371,93.680,233.000,110.205,119.235,73.818,94.186,107.557
364,147.556,90.349,137.443,23.000,82.893,120.002,94.077,69.313,89.389,30.833,50.578,50.360,5.000,53.646,55.676,77.500,90.616,130.691,133.667,101.776,124.583,70.125,59.046,64.549,97.400,93.948,130.207,59.250,96.451,91.651,51.222,57.160,75.234,22.000,78.275,123.535,93.333,85.738,77.808,144.000,89.426,90.858,83.000,86.118,135.153,147.400,98.921,125.537,144.000,93.540,125.506,158.125,89.822,107.568,233.636,84.537,97.083,54.000,84.616,67.778,64.692,63.775,93.953,269.000,110.205,118.910,50.000,94.179,107.541
365,164.444,90.384,137.403,61.250,82.698,119.887,75.692,69.267,89.374,70.333,50.470,50.641,95.750,53.754,55.455,85.667,90.495,130.958,155.833,101.630,124.682,73.000,59.156,64.775,82.400,93.830,130.168,81.500,96.471,91.861,38.111,57.647,75.066,29.111,78.656,124.086,82.000,85.598,77.755,99.882,89.385,90.939,33.750,85.876,135.235,127.200,98.944,125.596,119.000,93.514,125.584,246.375,89.816,107.519,167.636,84.508,97.179,59.750,84.439,67.817,62.692,63.597,93.754,165.667,110.205,119.165,78.545,93.932,107.926
366,202.667,90.288,137.429,21.250,83.357,120.008,74.308,69.348,89.236,67.000,50.566,50.410,66.000,53.898,55.458,95.000,90.622,130.767,106.833,101.701,124.660,61.500,59.183,64.518,62.400,93.872,130.413,136.500,96.533,91.616,51.389,57.343,74.987,117.556,78.579,123.646,63.000,85.442,77.594,178.706,89.427,91.146,98.250,85.973,134.918,107.400,98.906,125.341,62.833,93.538,125.622,181.250,89.738,107.629,126.727,84.471,97.165,133.000,84.692,67.759,29.231,63.513,93.591,243.667,110.205,119.086,42.909,94.113,107.881
367,139.111,90.370,137.509,25.250,83.078,119.783,57.077,69.364,89.286,114.333,50.681,50.461,69.250,53.698,55.427,133.667,90.517,130.849,176.333,101.626,124.662,44.625,59.210,64.607,113.000,93.900,130.022,65.000,96.591,91.816,37.000,57.490,74.782,64.889,78.491,123.854,129.167,85.791,78.002,120.000,89.462,91.216,112.750,86.013,135.227,134.400,98.893,125.283,133.833,93.629,125.515,241.875,89.758,107.471,174.727,84.477,97.181,42.750,84.964,67.744,26.000,63.697,93.915,177.667,110.205,118.946,43.455,93.922,107.791
368,144.000,90.358,137.403,49.500,82.957,119.813,101.231,69.236,89.241,34.500,50.510,50.685,21.250,53.727,55.408,136.833,90.486,130.791,72.167,101.658,124.677,63.125,59.240,64.579,151.600,93.884,130.525,63.000,96.480,91.692,36.611,57.140,74.895,38.889,78.580,123.857,77.500,85.536,77.783,154.235,89.397,90.997,91.000,85.915,135.082,113.800,98.895,125.274,101.500,93.675,125.718,208.125,89.742,107.538,288.909,84.391,97.270,31.750,84.680,67.877,46.231,63.641,93.950,215.333,110.205,119.119,67.818,93.929,107.833
