 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20
492,52.500,78.042,60.414,78.500,86.808,62.290,750.000,78.367,81.203,26.727,129.649,59.276,59.167,96.443,73.713,27.375,102.306,78.851,35.412,61.122,64.073,170.250,76.087,97.140,67.647,72.119,90.395,796.500,98.588,42.684,85.619,115.786,72.717,89.833,92.966,76.548,65.250,69.751,93.226,47.500,110.980,76.047,57.524,106.443,76.520,214.000,85.787,91.557,32.714,100.676,71.339,34.364,105.514,40.350,3.667,106.358,82.981,96.125,75.612,101.565
493,73.875,78.141,60.749,59.750,86.830,62.143,543.500,78.344,81.233,41.273,129.313,59.181,77.500,96.420,73.714,99.750,102.448,78.703,33.529,60.888,63.664,81.750,75.897,97.021,112.471,71.912,90.373,583.000,98.610,42.568,127.810,115.766,72.661,158.833,92.965,76.554,33.500,70.099,93.236,74.417,110.444,76.248,30.667,106.610,76.345,287.714,85.748,91.732,67.571,100.515,71.460,81.455,105.585,40.187,74.833,106.232,82.625,91.625,75.655,101.296
494,51.125,78.497,60.726,55.500,86.955,62.121,859.500,78.296,81.251,27.273,129.363,59.415,110.167,96.240,73.654,25.500,102.131,78.673,155.412,60.741,64.377,80.500,75.805,97.273,39.059,71.947,90.409,548.375,98.542,42.674,87.524,115.761,72.622,78.167,93.240,76.651,83.000,70.264,93.060,60.583,110.716,76.151,36.286,106.550,76.681,278.286,85.692,91.609,80.571,100.598,71.471,66.000,105.513,40.216,60.667,106.282,82.463,86.875,75.534,101.516
495,52.875,78.296,60.744,24.000,86.874,62.694,683.875,78.308,81.226,28.364,129.536,59.540,84.500,96.383,73.656,24.875,102.407,78.806,23.176,60.666,63.699,133.000,75.981,97.336,93.882,71.775,90.440,425.625,98.659,42.691,86.095,115.550,72.666,84.500,92.749,76.589,65.750,70.103,93.095,39.917,110.694,75.987,76.571,106.731,76.831,148.857,85.716,91.675,53.143,100.675,71.887,38.364,105.452,40.127,47.500,106.391,82.597,64.000,75.651,101.504
496,75.500,78.165,60.686,57.250,87.073,62.213,547.875,78.283,81.215,24.182,129.232,59.335,84.833,96.319,73.835,22.875,102.545,78.744,54.941,60.956,64.067,86.500,75.987,97.252,62.118,71.827,90.443,462.375,98.655,42.644,98.095,115.832,72.671,27.667,93.177,76.551,102.000,70.087,93.200,54.750,110.733,76.113,67.048,106.533,76.750,90.429,85.640,91.670,70.571,100.819,71.764,35.636,105.356,40.173,0.000,NaN,NaN,77.250,75.625,101.574
497,84.500,78.420,60.638,51.250,86.840,62.408,440.125,78.216,81.273,15.818,129.037,59.365,67.167,96.404,73.727,50.375,102.387,78.746,50.118,60.855,63.911,734.250,75.970,97.185,44.118,72.073,90.379,262.250,98.577,42.655,72.857,115.708,72.706,65.667,92.558,76.545,0.500,69.595,93.155,490.583,110.773,76.073,65.429,106.344,76.677,55.714,85.709,91.615,42.000,100.685,71.709,60.545,105.502,39.950,55.167,106.332,82.624,136.750,75.461,101.359
498,81.125,78.313,60.914,18.250,86.930,62.155,692.500,78.273,81.221,68.909,129.259,59.552,142.667,96.436,73.858,19.875,102.597,78.642,50.588,60.854,64.080,589.250,76.001,97.116,79.765,71.872,90.431,121.625,98.530,42.626,80.667,115.804,72.601,38.500,92.489,76.610,21.250,69.876,92.984,287.917,110.641,76.092,97.143,106.627,76.929,69.286,85.595,91.760,31.286,100.694,71.984,55.818,105.565,39.946,119.833,106.287,82.648,103.500,75.687,101.527
499,99.750,78.415,60.748,57.500,87.140,62.375,477.125,78.278,81.215,36.000,129.131,59.345,159.333,96.485,73.795,22.875,102.538,78.699,30.824,60.790,64.065,487.000,75.997,97.187,35.882,72.292,90.403,328.000,98.644,42.616,47.143,115.648,72.519,161.167,92.906,76.530,25.250,70.236,93.262,143.250,110.685,76.040,37.238,106.416,76.859,29.286,85.875,91.797,68.429,100.486,71.686,88.545,105.641,40.074,42.333,106.271,83.049,67.125,75.691,101.419
500,53.000,78.127,60.834,71.250,86.938,62.449,228.500,78.304,81.139,58.182,129.544,59.421,640.333,96.446,73.814,69.250,102.553,78.819,42.118,61.058,63.678,473.750,76.001,97.156,84.706,72.294,90.431,196.750,98.569,42.598,50.762,115.738,72.601,117.000,93.125,76.581,58.500,70.027,92.996,81.833,110.745,76.212,56.857,106.494,76.807,49.429,85.746,91.714,34.571,100.763,71.784,62.182,105.526,40.092,72.000,106.537,82.695,47.625,75.541,101.403
501,33.375,77.981,60.642,43.500,87.089,62.378,385.375,78.334,81.148,5.273,129.607,59.440,819.833,96.430,73.800,19.750,102.351,78.642,69.765,61.080,63.938,411.750,75.914,97.176,85.765,72.176,90.476,142.625,98.670,42.688,76.571,115.790,72.519,62.667,93.110,76.488,48.500,70.252,93.288,65.750,110.595,76.294,31.333,106.408,76.505,43.286,85.710,91.421,39.000,100.774,71.499,128.000,105.706,39.967,147.667,106.374,82.820,77.000,75.732,101.483
502,37.250,78.307,60.949,36.250,87.081,62.076,252.750,78.467,81.139,35.455,129.559,59.594,614.000,96.432,73.780,52.250,102.423,78.764,41.059,60.887,63.662,433.750,76.027,97.158,78.941,72.002,90.501,80.250,98.527,42.720,59.810,115.686,72.781,63.500,93.211,76.491,54.250,70.212,93.082,64.250,110.753,76.309,63.333,106.314,76.819,55.571,85.760,91.566,108.286,100.683,71.263,5.818,105.478,40.407,36.333,106.179,82.959,109.500,75.644,101.508
503,91.500,78.143,61.069,41.000,86.904,62.389,135.000,78.191,81.349,22.545,129.543,59.573,625.167,96.448,73.759,26.625,102.295,78.977,56.118,60.822,64.137,328.000,75.901,97.148,96.824,72.118,90.512,97.375,98.600,42.650,107.619,115.730,72.758,99.333,92.689,76.543,26.250,70.138,93.155,62.417,110.696,76.198,53.524,106.507,76.961,31.571,85.787,91.764,29.143,100.554,71.791,26.364,105.606,39.867,36.833,106.139,82.691,110.625,75.571,101.564
504,53.750,78.175,60.779,68.000,86.955,62.484,82.625,78.299,81.334,54.727,129.384,59.464,466.167,96.444,73.815,47.125,102.575,78.979,37.176,60.942,63.976,427.000,76.015,97.191,56.824,72.284,90.298,73.375,98.546,42.584,67.714,115.739,72.435,575.667,92.909,76.601,37.000,69.941,93.421,98.333,110.631,76.008,58.952,106.449,76.679,63.429,85.737,91.524,29.143,100.714,71.077,96.364,105.605,40.328,46.333,106.361,82.559,84.500,75.697,101.469
505,29.875,78.353,60.571,54.250,86.969,62.486,81.000,78.223,81.061,35.818,129.549,59.321,640.000,96.366,73.767,85.000,102.563,78.536,78.118,60.864,64.303,415.250,75.894,97.184,69.647,71.813,90.364,103.625,98.808,42.568,118.667,115.822,72.687,540.000,93.112,76.547,0.750,69.905,92.845,57.250,110.627,76.254,68.286,106.403,76.707,63.000,85.820,91.891,37.143,100.650,71.732,22.000,105.470,40.317,69.333,106.234,82.798,101.625,75.607,101.422
506,46.250,78.098,60.692,6.500,86.955,62.775,97.375,78.446,81.399,32.364,129.211,59.241,447.000,96.405,73.766,35.375,102.338,78.567,20.706,60.915,63.797,295.000,76.030,97.142,53.647,72.067,90.226,147.000,98.545,42.482,94.286,115.675,72.825,412.667,92.934,76.573,36.250,70.117,93.129,123.333,110.649,76.114,79.905,106.506,76.633,33.000,85.702,91.754,43.000,100.629,71.636,64.364,105.506,40.142,58.000,106.641,82.760,777.125,75.649,101.494
507,61.750,78.399,60.837,5.500,86.955,61.845,133.750,78.189,81.285,10.000,130.022,59.354,335.833,96.449,73.848,22.750,102.608,78.805,42.588,60.923,63.941,472.000,75.954,97.171,53.059,71.695,90.437,78.125,98.406,42.518,82.286,115.781,72.607,220.167,92.989,76.521,8.750,69.622,93.182,65.917,110.712,76.220,25.524,106.434,76.694,72.571,85.572,91.708,23.000,100.614,71.778,19.818,105.689,39.744,46.167,106.175,82.884,542.375,75.635,101.451
508,68.250,78.391,60.667,35.500,86.981,62.424,72.875,78.118,81.279,59.091,129.542,59.334,215.833,96.376,73.767,74.750,102.247,78.702,102.471,60.963,63.977,217.000,75.922,97.299,34.588,71.984,90.441,129.875,98.532,42.595,48.095,115.822,72.871,196.500,92.944,76.620,48.750,69.954,93.061,62.417,110.521,75.870,57.524,106.564,76.873,106.286,85.764,91.630,56.286,100.399,71.779,56.182,105.608,39.790,73.500,106.211,82.543,330.000,75.585,101.569
509,55.750,78.391,60.811,39.500,87.167,62.204,45.000,78.427,81.096,14.909,129.463,59.059,186.333,96.469,73.707,77.000,102.572,78.892,94.235,60.874,63.744,219.500,75.896,97.265,39.529,71.830,90.359,121.000,98.601,42.581,68.857,115.716,72.480,228.500,92.979,76.515,30.500,70.065,93.064,55.000,110.642,75.945,58.000,106.387,76.746,40.286,85.712,92.129,34.857,100.431,71.732,75.273,105.617,40.146,49.833,106.367,82.681,467.750,75.676,101.515
510,57.625,78.187,60.772,29.250,87.265,62.465,181.750,78.203,81.069,53.091,129.540,59.419,225.000,96.303,73.824,87.500,102.344,78.734,28.235,60.805,63.947,127.000,75.980,97.143,48.118,72.039,90.308,89.500,98.525,42.544,43.810,115.892,72.742,205.167,92.788,76.540,15.250,69.905,93.465,41.917,110.756,76.459,52.381,106.539,76.926,36.714,85.914,91.642,43.143,100.613,71.839,36.182,105.583,39.969,65.500,106.230,82.517,496.875,75.691,101.444
511,65.250,78.292,60.936,72.500,87.061,62.389,208.000,78.385,81.302,31.091,129.255,59.423,130.333,96.427,73.798,61.000,102.274,78.807,54.235,60.890,63.975,139.000,75.940,97.167,66.941,72.103,90.491,121.125,98.488,42.608,94.857,116.039,72.629,387.333,93.015,76.556,65.500,70.116,93.377,61.333,110.710,76.173,63.429,106.383,76.636,14.714,85.661,91.671,15.857,100.391,71.469,22.909,105.597,40.209,37.000,106.157,82.797,314.750,75.716,101.407
512,87.500,78.130,60.852,45.250,86.991,62.319,152.125,78.332,81.359,7.273,129.216,59.598,135.667,96.411,73.791,51.750,102.531,78.852,45.294,60.942,64.091,43.500,75.866,97.308,41.882,71.999,90.535,166.875,98.467,42.689,103.048,115.624,72.753,174.167,93.177,76.584,22.000,69.905,93.155,54.333,110.657,75.912,61.810,106.324,76.983,77.714,85.717,91.796,58.857,100.587,71.481,64.364,105.629,40.221,97.667,106.290,82.530,219.875,75.656,101.434
