 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16
366,42.846,42.252,102.866,83.000,40.538,107.230,134.000,39.490,84.073,528.364,60.594,86.986,155.636,43.240,80.048,587.375,52.957,80.581,100.625,44.052,95.881,30.545,43.808,75.450,54.786,39.317,75.729,86.000,21.787,91.578,37.667,51.509,69.259,44.250,66.340,76.126,411.765,54.080,86.736,211.750,62.852,63.499,101.100,33.809,95.240,34.692,47.260,63.902
367,50.462,42.002,102.858,67.000,40.720,107.477,112.200,39.477,83.814,515.636,60.578,87.009,138.000,43.305,80.029,573.000,52.809,80.583,43.875,44.245,96.010,67.455,43.799,75.812,75.857,39.421,75.836,67.750,21.890,91.803,32.667,51.411,69.726,39.250,66.405,76.141,273.176,54.147,86.801,304.250,62.957,63.472,92.900,33.949,95.471,49.308,47.374,64.285
368,34.077,42.153,102.750,44.333,40.558,107.636,77.400,39.384,84.019,513.455,60.661,86.907,230.000,43.202,80.076,553.875,52.956,80.614,94.000,43.947,96.021,64.909,43.789,75.518,86.286,39.373,75.524,97.500,21.756,91.720,86.167,51.368,69.611,45.750,66.013,76.203,257.059,54.077,86.788,414.750,62.883,63.506,42.300,33.933,95.069,42.538,47.334,64.095
369,64.154,42.309,102.829,69.667,40.727,107.622,86.700,39.522,83.998,666.545,60.630,86.961,179.273,43.256,80.055,686.000,52.903,80.632,143.875,44.037,95.946,104.364,44.006,75.844,111.071,39.210,75.625,81.250,21.891,91.676,45.833,51.417,69.335,24.750,66.332,76.260,213.412,54.049,86.769,265.000,62.792,63.551,114.900,33.810,95.101,33.769,47.298,63.860
370,75.692,42.138,102.620,340.500,40.590,107.601,142.000,39.159,84.063,484.545,60.610,86.981,143.091,43.242,80.285,750.250,52.865,80.594,126.875,44.128,96.007,81.818,43.938,75.766,98.714,39.414,75.452,74.500,22.016,91.781,22.167,51.755,69.660,61.250,65.981,76.235,249.176,54.103,86.959,378.000,62.944,63.633,73.600,33.870,95.342,27.923,47.463,63.918
371,52.538,42.326,102.662,318.333,40.691,107.638,101.400,39.270,83.993,473.636,60.638,86.953,95.636,43.274,79.949,742.125,52.925,80.600,106.750,43.911,95.962,71.091,43.921,75.962,101.429,39.544,75.687,37.000,22.002,91.632,41.833,51.503,69.467,98.625,66.092,76.359,192.353,54.076,86.732,267.750,63.016,63.562,118.600,33.943,95.105,50.846,47.685,63.917
372,33.462,42.093,102.764,181.000,40.641,107.464,92.200,39.339,84.098,588.909,60.650,86.932,131.455,43.327,80.279,456.375,52.943,80.638,85.000,44.045,95.832,74.545,43.774,75.809,98.786,39.427,75.635,115.500,21.881,91.792,25.167,51.235,69.523,28.750,66.393,76.306,200.235,54.100,86.922,197.250,62.860,63.522,46.900,34.016,95.061,44.923,47.429,64.053
373,40.385,42.277,102.792,98.333,40.554,107.599,92.800,39.433,83.858,537.091,60.619,86.988,154.000,43.251,80.075,452.875,52.805,80.580,37.625,43.961,95.836,98.182,43.922,75.708,155.429,39.439,75.573,161.250,21.825,91.709,80.500,51.431,69.349,53.250,66.042,76.207,126.235,54.063,86.738,197.250,63.062,63.591,73.700,33.754,95.031,82.000,47.468,63.779
374,46.538,42.480,102.574,181.833,40.520,107.654,104.500,39.257,83.898,652.545,60.614,86.984,111.273,43.229,80.289,519.750,52.846,80.549,56.375,44.011,95.772,123.273,43.920,75.799,134.643,39.317,75.667,93.500,21.798,91.747,38.833,51.470,69.445,56.750,66.151,76.250,129.059,54.171,86.843,344.000,62.815,63.545,80.600,33.838,95.144,31.846,47.472,63.965
375,87.769,42.288,102.726,292.667,40.649,107.650,92.000,39.327,83.824,588.909,60.561,86.940,87.636,43.289,80.357,273.875,52.854,80.644,84.625,43.882,95.800,71.273,43.951,76.009,106.571,39.299,75.648,89.500,21.789,91.898,23.667,51.589,69.209,33.500,66.067,76.177,190.235,54.169,86.692,358.250,63.000,63.520,54.800,33.715,95.223,64.154,47.230,64.055
376,79.538,42.132,102.957,229.000,40.657,107.617,88.900,39.584,83.821,714.545,60.639,86.989,138.727,43.207,80.105,294.250,52.966,80.637,92.625,44.095,95.923,68.182,43.734,75.786,108.571,39.366,75.620,164.000,21.907,91.932,47.833,51.407,69.403,37.250,66.273,76.301,199.647,54.047,86.687,239.750,62.888,63.614,37.300,33.897,95.303,34.462,47.443,64.086
377,45.769,42.461,102.578,118.167,40.505,107.446,118.500,39.295,83.877,569.636,60.634,86.880,107.273,43.241,80.125,264.125,52.806,80.590,102.125,44.184,96.013,25.818,43.937,75.738,65.000,39.474,75.636,106.000,21.939,91.855,40.167,51.561,69.320,43.625,66.064,76.333,107.176,54.091,86.755,211.750,63.061,63.559,111.000,33.910,95.221,70.385,47.309,63.999
378,74.077,42.199,102.870,166.167,40.761,107.649,64.700,39.425,84.047,644.182,60.649,86.939,192.727,43.226,80.407,304.000,52.912,80.593,89.125,44.142,96.040,24.727,43.829,76.105,96.143,39.351,75.620,52.750,21.936,91.624,12.167,51.483,69.425,30.500,66.155,76.322,148.235,54.144,86.676,347.000,62.852,63.593,77.100,33.759,95.247,42.615,47.569,64.151
379,30.692,42.240,102.760,50.167,40.753,107.570,102.400,39.416,83.883,525.455,60.644,86.975,123.818,43.252,80.284,247.125,52.868,80.545,36.625,43.990,95.765,32.727,43.824,76.055,93.143,39.405,75.785,39.000,21.764,91.714,72.000,51.348,69.320,60.125,66.282,76.294,147.765,54.052,86.786,267.000,62.921,63.481,70.200,33.815,95.257,61.615,47.214,63.897
380,47.923,42.272,102.770,96.000,40.647,107.576,146.500,39.462,84.019,403.636,60.590,86.909,187.636,43.265,80.122,302.000,52.942,80.623,70.625,43.962,95.923,74.727,43.930,76.076,117.714,39.416,75.689,79.750,21.847,91.659,68.000,51.420,69.630,33.000,66.233,76.303,102.706,54.139,86.687,446.250,62.857,63.552,111.300,33.697,95.155,47.692,47.664,63.826
381,32.231,42.031,102.856,68.167,40.791,107.622,90.600,39.477,84.145,412.727,60.600,87.011,162.364,43.251,80.166,272.250,52.915,80.621,127.125,43.982,96.158,91.273,43.968,75.628,54.286,39.320,75.264,30.000,22.059,91.654,29.000,51.218,69.340,38.625,66.202,76.119,129.882,54.211,86.796,374.000,62.941,63.559,89.900,33.668,95.163,87.231,47.438,63.964
382,27.538,41.921,102.897,105.500,40.553,107.859,92.700,39.467,84.049,465.455,60.624,86.949,125.273,43.209,80.090,384.500,52.899,80.582,88.250,43.984,95.970,60.364,43.997,75.633,67.500,39.360,75.408,44.250,21.929,91.861,45.667,51.508,69.376,119.000,66.277,76.195,188.235,54.088,86.642,283.250,62.940,63.519,63.500,33.833,95.181,41.769,47.578,63.820
383,80.769,42.201,102.934,45.167,40.810,107.432,130.800,39.309,84.029,213.818,60.624,87.018,97.273,43.250,80.151,288.500,52.761,80.525,109.375,44.114,96.228,70.545,43.792,75.804,156.857,39.346,75.842,81.750,21.953,91.648,56.500,51.525,69.344,56.875,66.263,76.140,157.882,54.106,86.815,406.000,62.756,63.585,55.800,33.913,95.344,35.308,47.722,64.173
384,59.462,41.950,102.850,30.833,41.030,107.507,60.500,39.417,83.926,378.727,60.650,86.838,244.364,43.298,80.134,329.000,52.884,80.560,58.375,44.063,95.863,35.091,43.854,75.891,149.714,39.448,75.803,37.000,21.859,91.858,81.167,51.322,69.273,62.000,66.146,76.289,235.647,54.075,86.833,342.500,62.990,63.581,85.700,33.704,95.100,44.385,47.462,64.144
385,70.923,42.368,102.706,75.833,40.522,107.579,66.000,39.397,83.904,363.818,60.587,86.995,135.636,43.329,80.113,244.625,52.907,80.649,117.500,43.938,96.015,36.182,43.820,75.611,103.786,39.305,75.756,84.750,21.683,91.769,81.333,51.533,69.498,48.625,66.171,76.162,93.647,54.059,86.755,257.500,62.723,63.527,80.000,33.739,95.099,37.000,47.487,64.096
386,88.846,42.123,102.799,70.000,40.826,107.707,82.100,39.386,84.135,332.364,60.665,87.003,124.545,43.144,80.146,204.000,52.860,80.614,129.625,44.075,95.937,40.182,43.827,75.806,76.143,39.360,75.469,76.750,21.874,91.673,12.833,51.482,69.064,9.750,66.030,76.379,194.824,54.079,86.877,303.500,62.896,63.557,68.000,33.782,95.019,52.462,47.390,64.068
387,60.154,42.201,102.714,56.333,40.613,107.434,103.900,39.166,84.129,320.909,60.590,86.925,146.364,43.290,80.134,237.000,52.840,80.544,88.250,44.123,95.910,11.818,43.822,75.795,91.143,39.328,75.657,96.500,21.841,91.852,62.667,51.463,69.609,15.000,66.250,76.340,143.059,54.067,87.150,201.250,62.837,63.610,69.300,33.614,95.340,41.692,47.536,64.185
388,34.846,42.173,102.653,118.500,40.713,107.541,134.300,39.424,84.138,412.909,60.642,86.909,116.000,43.273,80.237,195.875,52.784,80.574,123.625,44.106,95.873,51.818,44.048,75.624,111.429,39.497,75.721,81.250,21.876,91.991,54.333,51.384,69.470,56.500,66.301,76.259,171.059,54.129,86.756,316.000,62.914,63.539,112.200,33.678,95.140,79.077,47.522,64.011
389,22.154,42.388,102.654,35.500,40.644,107.524,82.200,39.238,83.777,342.727,60.587,86.966,159.091,43.086,80.186,533.875,52.823,80.598,80.250,43.903,96.075,37.818,43.828,75.937,116.857,39.348,75.806,37.000,21.805,91.572,45.500,51.608,69.469,36.375,66.321,76.095,166.588,54.120,86.704,365.500,62.889,63.567,33.400,33.754,95.311,95.769,47.279,63.981
390,31.846,42.521,102.706,81.500,40.695,107.662,44.900,39.400,83.997,316.727,60.570,86.907,152.909,43.300,80.208,303.500,52.808,80.571,76.750,44.122,96.044,70.364,43.994,75.952,96.429,39.408,75.552,151.500,21.872,91.724,109.500,51.581,69.468,55.750,66.364,76.199,207.412,54.045,86.837,258.500,62.795,63.528,93.700,33.835,95.169,25.538,47.314,63.962
391,42.308,41.996,102.762,35.667,40.610,107.538,67.200,39.501,83.976,401.455,60.582,87.001,134.000,43.247,80.034,359.500,52.800,80.642,118.500,44.025,96.075,22.364,43.946,76.009,79.929,39.516,75.661,83.750,21.903,91.801,28.333,51.062,69.307,56.125,66.385,76.198,180.941,54.136,86.713,361.000,62.994,63.528,81.000,33.927,95.044,89.769,47.559,64.002
392,73.077,42.344,102.514,53.667,40.819,107.701,95.100,39.295,84.070,324.000,60.629,86.906,94.727,43.237,80.174,258.250,52.977,80.719,103.875,43.891,95.958,49.273,43.899,75.714,103.000,39.416,75.523,182.000,21.775,91.727,60.667,51.373,69.305,52.125,66.024,76.246,174.706,54.077,86.862,385.500,62.951,63.578,99.500,33.999,95.118,30.308,47.501,63.970
393,94.077,41.963,102.709,116.667,40.587,107.621,93.600,39.320,84.009,390.000,60.565,86.947,73.273,43.168,80.126,299.250,52.825,80.687,91.625,44.141,95.812,60.545,43.838,75.761,89.857,39.421,75.745,136.000,21.876,91.892,36.833,51.493,69.394,28.500,66.367,76.093,225.647,54.107,87.009,293.250,62.873,63.508,59.900,33.754,95.387,68.077,47.620,63.856
394,40.615,41.965,102.895,55.333,40.550,107.432,107.300,39.495,84.081,409.273,60.599,86.920,118.364,43.195,80.134,341.750,52.747,80.567,48.500,43.940,95.917,27.091,43.909,75.491,169.000,39.505,75.837,135.000,21.802,91.772,15.833,51.641,69.618,28.375,66.492,76.117,138.000,53.995,86.927,414.000,62.932,63.535,124.800,33.860,95.256,83.462,47.584,63.956
