 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19
314,203.188,65.983,66.161,275.364,63.911,69.141,231.583,70.248,67.652,265.375,73.480,60.750,531.500,73.479,72.378,474.000,75.751,76.942,296.875,68.265,70.746,231.750,42.372,56.461,271.000,67.332,74.965,677.222,76.159,67.729,445.500,67.789,95.092,573.769,62.544,61.629,228.500,60.870,70.058,228.333,68.117,56.343,290.900,67.165,61.811,54.500,62.267,54.770,207.000,69.809,59.951,80.500,36.606,60.678,285.833,71.294,70.261
315,99.250,65.964,66.000,306.545,63.896,69.243,235.917,70.280,67.643,91.750,73.480,60.609,344.625,73.562,72.448,508.800,75.737,76.971,372.500,68.295,70.806,161.000,42.407,56.429,256.476,67.218,74.979,558.778,76.142,67.782,589.750,67.762,95.112,408.769,62.548,61.642,242.500,60.812,70.039,248.250,68.106,56.352,377.400,67.203,61.753,48.750,62.260,54.658,116.833,69.837,60.005,36.083,36.090,60.796,212.167,71.323,70.321
316,141.500,66.002,66.233,209.909,63.962,69.221,175.667,70.331,67.713,162.375,73.484,60.715,359.875,73.459,72.418,430.850,75.776,76.916,392.250,68.298,70.794,123.125,42.320,56.365,207.810,67.297,74.837,720.111,76.134,67.738,711.375,67.721,95.132,362.923,62.477,61.616,225.000,60.881,70.084,259.667,68.151,56.349,323.200,67.124,61.749,57.250,62.330,54.842,173.333,70.021,59.988,109.750,36.256,60.737,432.500,71.362,70.224
317,100.188,65.879,66.191,344.455,63.900,69.210,252.917,70.290,67.693,261.500,73.477,60.718,453.125,73.497,72.411,466.700,75.748,77.016,280.500,68.221,70.799,124.875,42.209,56.437,267.429,67.334,74.983,449.778,76.083,67.794,560.875,67.727,95.170,275.231,62.584,61.629,185.000,60.817,70.033,163.083,68.224,56.474,409.700,67.146,61.886,53.875,62.082,54.802,190.500,69.846,59.992,112.583,36.611,60.696,325.500,71.289,70.269
318,118.062,65.903,65.931,333.636,63.927,69.176,156.417,70.206,67.597,155.500,73.576,60.657,406.750,73.433,72.364,590.900,75.763,76.972,270.625,68.189,70.756,87.875,42.269,56.430,268.048,67.329,74.953,371.333,76.150,67.798,633.375,67.740,95.100,219.462,62.514,61.617,148.500,60.812,70.102,136.083,68.059,56.456,285.000,67.175,61.869,71.500,62.234,54.707,88.667,70.074,59.932,118.333,36.292,60.767,267.000,71.269,70.260
319,118.812,66.001,66.009,299.091,63.894,69.185,223.417,70.318,67.646,143.875,73.470,60.790,591.000,73.488,72.358,633.950,75.739,76.966,337.125,68.231,70.724,76.750,42.041,56.379,235.952,67.311,74.924,565.111,76.135,67.730,610.750,67.700,95.145,186.308,62.544,61.655,249.375,60.840,69.977,275.917,68.120,56.417,752.300,67.176,61.766,88.500,62.217,54.754,327.500,69.857,59.968,67.833,36.169,60.664,341.000,71.366,70.236
320,107.188,65.872,66.113,353.273,63.908,69.172,735.417,70.288,67.647,296.375,73.506,60.649,302.625,73.492,72.437,542.350,75.762,76.907,380.125,68.197,70.808,126.125,42.323,56.449,211.429,67.348,74.983,664.444,76.121,67.756,619.375,67.758,95.116,165.538,62.576,61.550,207.875,60.830,69.980,174.583,68.177,56.393,748.200,67.163,61.784,55.250,62.274,54.815,143.000,69.814,59.975,88.167,36.541,60.626,384.667,71.275,70.229
321,143.688,65.822,66.193,349.545,63.922,69.198,1146.500,70.271,67.651,226.000,73.430,60.693,336.875,73.515,72.430,492.200,75.732,76.962,264.125,68.235,70.836,137.000,42.415,56.448,256.810,67.343,74.866,344.556,76.144,67.710,333.500,67.789,95.202,145.462,62.514,61.657,392.750,60.784,69.971,245.667,68.156,56.395,1122.200,67.173,61.798,27.938,62.305,54.749,259.167,69.858,59.956,93.500,36.412,60.639,415.000,71.327,70.260
322,250.500,66.024,66.171,378.818,63.915,69.153,1092.417,70.254,67.633,173.250,73.479,60.687,641.500,73.524,72.331,445.850,75.722,76.951,303.000,68.226,70.703,126.000,42.310,56.390,195.333,67.338,74.808,384.333,76.092,67.772,615.000,67.770,95.151,221.885,62.456,61.629,228.375,60.760,70.047,104.083,68.164,56.357,1207.100,67.154,61.809,60.500,62.147,54.880,135.667,69.940,60.084,84.417,36.184,60.771,497.500,71.353,70.210
323,327.500,66.007,66.220,241.727,63.969,69.176,768.750,70.277,67.646,188.000,73.474,60.776,473.625,73.485,72.431,426.750,75.780,76.980,280.375,68.216,70.766,82.875,42.284,56.470,183.286,67.277,74.938,221.222,76.103,67.726,510.125,67.711,95.132,184.154,62.548,61.648,191.000,60.940,70.044,187.167,68.081,56.357,756.000,67.168,61.826,11.812,62.215,54.729,27.167,70.010,60.103,75.667,36.438,60.715,384.000,71.421,70.262
324,273.500,65.996,66.039,306.455,63.932,69.247,1043.917,70.260,67.693,246.500,73.418,60.696,1171.000,73.493,72.393,448.550,75.771,76.935,396.500,68.261,70.708,89.125,42.437,56.295,312.286,67.291,74.817,277.444,76.094,67.778,687.500,67.770,95.146,175.154,62.542,61.500,324.125,60.834,69.990,190.750,68.166,56.475,433.000,67.162,61.736,52.750,62.212,54.980,233.333,69.949,59.998,37.250,36.261,60.651,341.333,71.347,70.278
325,320.000,66.033,66.031,313.636,63.889,69.258,649.917,70.312,67.660,146.875,73.500,60.601,924.625,73.527,72.404,563.000,75.720,76.963,245.250,68.220,70.727,213.125,42.371,56.453,221.095,67.243,74.916,312.889,76.131,67.772,628.250,67.746,95.094,220.346,62.592,61.764,279.125,60.794,69.969,264.333,68.099,56.347,549.400,67.128,61.727,20.312,62.040,54.766,114.833,69.826,60.014,68.250,36.575,60.735,376.000,71.334,70.294
326,276.688,65.980,66.090,323.273,63.952,69.066,651.667,70.292,67.650,233.500,73.502,60.650,580.250,73.459,72.461,415.000,75.750,76.945,231.000,68.313,70.719,110.875,42.291,56.369,310.429,67.280,74.913,296.889,76.137,67.753,477.750,67.715,95.108,140.885,62.603,61.565,194.750,60.858,69.959,283.750,68.158,56.364,447.800,67.190,61.766,90.938,62.360,54.746,169.500,69.938,59.990,80.250,36.386,60.720,265.667,71.378,70.178
327,165.625,66.027,66.089,366.909,63.952,69.142,343.917,70.248,67.648,217.875,73.552,60.669,353.000,73.462,72.420,521.950,75.815,76.941,452.625,68.223,70.698,136.125,42.524,56.438,664.000,67.268,74.950,339.556,76.118,67.695,553.250,67.766,95.165,192.231,62.593,61.645,208.000,60.906,69.953,130.083,68.153,56.425,427.300,67.158,61.878,80.312,62.313,54.755,112.333,70.026,59.991,116.917,36.220,60.693,403.667,71.389,70.268
328,125.875,66.069,66.126,459.818,63.903,69.217,348.917,70.262,67.668,242.125,73.511,60.641,377.625,73.480,72.332,490.950,75.802,76.927,341.500,68.265,70.751,161.625,42.199,56.448,799.429,67.240,74.951,376.556,76.138,67.767,476.125,67.752,95.167,211.038,62.530,61.603,185.125,60.929,69.927,189.083,68.027,56.397,354.300,67.186,61.859,39.438,62.183,54.830,174.167,69.910,59.987,124.333,36.623,60.599,233.167,71.264,70.244
329,84.062,65.930,66.117,277.000,63.938,69.095,248.583,70.241,67.616,150.000,73.453,60.731,383.625,73.444,72.355,458.450,75.775,76.968,189.625,68.188,70.627,103.125,42.225,56.409,1147.952,67.306,74.917,190.889,76.078,67.744,559.000,67.795,95.108,252.038,62.582,61.565,221.750,60.843,70.056,140.083,68.055,56.360,231.200,67.122,61.827,124.000,62.272,54.817,264.167,69.860,60.034,73.333,36.380,60.692,315.833,71.283,70.237
330,144.438,65.987,66.109,305.727,63.985,69.136,243.417,70.305,67.639,169.000,73.509,60.632,356.750,73.453,72.360,414.400,75.782,76.913,342.875,68.245,70.733,85.500,42.347,56.428,1221.762,67.294,74.923,397.000,76.087,67.744,576.750,67.774,95.224,197.500,62.516,61.641,301.000,60.764,70.028,211.167,68.136,56.371,223.400,67.143,61.854,81.000,62.238,54.699,111.000,69.805,60.068,47.250,36.249,60.682,277.167,71.338,70.289
331,131.000,65.981,66.135,302.000,63.907,69.223,265.250,70.289,67.586,145.625,73.528,60.583,412.750,73.501,72.396,373.100,75.776,76.984,507.500,68.198,70.727,219.125,42.315,56.403,961.571,67.304,74.865,440.111,76.137,67.786,556.500,67.744,95.181,135.500,62.477,61.622,296.875,60.846,69.994,189.250,68.108,56.354,322.000,67.232,61.806,58.250,62.292,54.623,420.333,69.899,59.950,71.000,36.647,60.753,366.500,71.376,70.292
332,59.250,66.023,66.087,332.545,63.946,69.166,249.250,70.359,67.676,215.125,73.503,60.805,549.375,73.529,72.416,415.950,75.714,77.003,361.875,68.219,70.746,116.625,42.392,56.459,608.619,67.260,74.945,416.667,76.133,67.737,505.500,67.707,95.152,155.115,62.603,61.620,173.250,60.860,70.076,189.000,68.016,56.424,489.300,67.149,61.710,48.938,62.346,54.680,396.000,69.865,59.983,153.417,36.341,60.683,372.000,71.379,70.277
333,162.688,66.003,66.098,376.818,63.940,69.157,292.167,70.291,67.725,142.750,73.546,60.723,301.250,73.490,72.416,628.150,75.750,76.993,370.500,68.260,70.681,132.375,42.395,56.413,536.952,67.342,74.939,531.333,76.122,67.771,465.000,67.696,95.093,225.038,62.501,61.653,264.625,60.855,69.983,285.250,68.159,56.399,251.100,67.120,61.873,56.750,62.433,54.705,525.000,69.869,60.002,84.833,36.279,60.699,307.000,71.183,70.263
334,92.062,65.958,66.069,422.909,63.917,69.250,204.250,70.225,67.566,140.375,73.528,60.769,379.750,73.467,72.413,1290.200,75.790,76.977,238.000,68.250,70.767,75.000,42.328,56.299,334.524,67.193,74.893,702.889,76.110,67.780,669.375,67.730,95.142,261.269,62.572,61.607,368.000,60.835,70.025,201.000,68.089,56.431,360.000,67.125,61.878,44.625,62.272,54.584,524.167,69.941,59.986,58.333,36.300,60.701,356.333,71.313,70.260
335,162.938,65.996,66.123,478.182,63.959,69.172,233.500,70.303,67.662,122.250,73.505,60.593,477.250,73.456,72.359,1243.900,75.754,76.988,376.625,68.256,70.760,174.625,42.193,56.356,306.000,67.214,74.912,978.556,76.161,67.769,579.875,67.788,95.165,326.385,62.534,61.644,310.875,60.764,70.009,127.417,68.062,56.249,401.300,67.153,61.767,67.812,62.138,54.656,801.500,69.903,60.009,41.833,36.289,60.642,265.333,71.374,70.250
336,117.250,65.991,66.179,272.818,63.935,69.172,195.750,70.243,67.692,270.250,73.473,60.782,419.875,73.489,72.375,1088.850,75.761,76.939,269.250,68.233,70.781,138.000,42.285,56.346,287.905,67.265,74.918,1396.111,76.144,67.766,562.625,67.785,95.144,220.462,62.565,61.560,238.875,60.823,70.042,212.583,68.184,56.386,299.500,67.185,61.696,49.562,62.408,54.869,520.500,69.831,60.017,62.333,36.595,60.644,369.500,71.357,70.243
337,57.438,66.061,66.219,360.909,63.908,69.199,347.833,70.227,67.714,132.125,73.508,60.687,319.500,73.521,72.437,854.000,75.784,76.947,377.625,68.261,70.794,63.000,42.160,56.399,225.429,67.258,75.005,1019.222,76.121,67.759,542.125,67.743,95.161,207.346,62.482,61.630,462.000,60.817,70.021,213.500,68.117,56.407,286.100,67.147,61.600,71.375,62.255,54.580,396.833,69.918,59.973,79.417,36.224,60.700,445.000,71.330,70.235
338,77.500,65.984,66.153,355.091,63.945,69.193,284.917,70.270,67.678,136.625,73.497,60.781,434.750,73.498,72.417,937.600,75.734,76.982,221.375,68.193,70.763,54.000,42.073,56.485,287.429,67.262,74.833,1001.889,76.128,67.754,514.375,67.767,95.080,231.269,62.553,61.562,511.250,60.773,70.016,210.083,68.088,56.370,314.600,67.166,61.689,51.812,62.364,54.870,338.167,69.955,59.984,81.167,36.517,60.788,306.667,71.355,70.242
339,172.375,66.048,66.140,469.545,63.915,69.231,398.000,70.288,67.615,133.375,73.609,60.643,434.625,73.476,72.374,898.600,75.755,76.968,360.250,68.257,70.743,116.500,42.262,56.439,272.095,67.306,74.843,594.778,76.094,67.718,617.750,67.742,95.138,274.115,62.453,61.698,850.875,60.824,70.044,123.167,68.081,56.531,375.100,67.175,61.826,35.812,62.128,54.799,256.000,69.859,59.947,38.500,36.137,60.690,300.167,71.281,70.293
