 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18
146,105.875,96.730,84.624,106.889,76.126,110.892,1156.444,88.210,100.922,178.167,80.528,87.452,313.125,94.468,98.197,155.000,86.422,58.016,58.250,91.687,79.331,184.000,79.028,64.237,300.500,70.210,109.685,73.500,89.080,42.710,82.200,80.907,58.138,49.429,90.958,83.716,53.500,93.534,104.121,102.833,81.473,35.740,148.750,92.167,89.950,88.500,63.032,89.791,56.200,88.871,110.053,164.875,87.365,89.135
147,115.875,96.386,84.811,126.667,76.091,110.742,1134.889,88.207,100.889,159.167,80.607,87.330,365.750,94.346,98.267,90.000,86.357,58.040,62.625,91.867,79.660,166.875,78.970,64.489,59.500,70.094,109.839,127.750,88.924,42.639,125.000,80.979,57.479,105.619,90.963,83.724,53.500,93.707,104.076,59.833,81.514,35.719,100.125,92.341,89.990,141.500,62.997,89.978,133.000,88.914,109.971,73.000,87.287,89.192
148,117.500,96.576,84.529,40.444,76.219,110.777,1128.889,88.220,100.884,176.167,80.656,87.476,253.250,94.480,98.291,200.250,86.346,58.060,82.625,91.754,79.474,239.000,79.121,64.164,193.250,70.212,109.666,62.000,88.903,42.684,128.400,80.890,57.997,97.429,90.821,83.543,48.000,93.336,104.165,76.500,81.488,35.715,183.375,92.306,89.868,122.250,63.129,89.878,210.800,88.962,109.922,53.875,87.176,89.103
149,88.750,96.821,84.739,57.333,76.119,110.627,915.556,88.153,100.872,126.833,80.686,87.615,278.125,94.431,98.284,215.000,86.328,57.841,7.625,91.696,79.510,212.875,79.129,64.317,196.750,70.105,109.636,137.500,88.845,42.673,121.800,80.830,57.728,76.667,91.017,83.594,98.500,93.626,104.210,102.167,81.528,35.728,98.000,92.184,89.823,62.500,63.064,89.760,99.400,88.958,109.642,71.750,87.139,89.262
150,131.125,96.564,84.588,173.333,76.198,110.807,842.667,88.245,100.932,352.667,80.668,87.422,217.250,94.426,98.188,120.000,86.200,58.060,70.625,91.820,79.337,235.000,79.159,64.315,236.750,70.123,109.752,83.500,89.051,42.611,141.600,80.825,57.979,107.143,90.808,83.703,74.833,93.486,104.159,132.500,81.626,35.823,128.375,92.098,89.951,62.250,62.970,89.934,114.800,88.922,110.028,82.500,87.450,89.263
151,105.625,96.588,84.485,133.333,76.151,110.841,464.444,88.204,100.895,225.333,80.586,87.610,172.875,94.418,98.337,151.500,86.358,57.869,66.875,91.661,79.535,130.125,78.964,64.248,172.750,70.185,109.682,94.000,89.082,42.745,68.000,80.884,57.727,90.190,90.997,83.523,57.833,93.491,104.073,92.000,81.619,35.730,146.375,92.141,89.880,30.500,63.253,89.885,127.600,88.972,110.245,56.625,87.301,89.301
152,101.875,96.554,84.661,122.889,76.151,111.057,191.333,88.163,101.096,730.167,80.623,87.502,232.375,94.425,98.207,117.250,86.334,58.039,32.875,91.833,79.453,198.750,79.092,64.251,211.500,70.270,109.670,47.750,89.028,42.791,143.400,80.912,58.052,63.143,90.918,83.635,33.500,93.530,104.377,110.500,81.557,35.661,125.625,92.221,89.960,25.250,63.024,89.991,166.000,88.939,109.980,77.375,87.160,89.474
153,62.375,96.690,84.599,152.222,76.243,110.803,194.000,88.238,100.959,684.833,80.595,87.465,184.250,94.569,98.360,146.250,86.289,58.028,29.625,91.724,79.510,119.750,79.137,64.408,256.500,70.232,109.670,87.750,88.895,42.785,213.000,80.912,57.995,115.810,91.019,83.553,52.000,93.658,103.952,64.333,81.606,35.773,134.625,92.165,90.060,131.000,63.112,89.963,141.000,88.978,109.886,80.125,87.556,89.352
154,28.875,96.612,84.694,162.667,76.026,110.675,182.222,88.231,101.060,389.000,80.616,87.420,256.750,94.331,98.274,137.500,86.404,58.057,53.250,91.727,79.520,256.375,79.023,64.346,267.750,70.169,109.824,60.500,89.038,42.631,71.600,80.886,57.641,85.238,90.886,83.490,65.833,93.579,104.428,132.667,81.492,35.663,101.625,92.411,89.922,15.500,63.365,89.875,155.000,88.946,110.052,68.250,87.398,89.406
155,118.750,96.715,84.530,102.444,76.130,110.797,267.111,88.169,100.943,243.833,80.589,87.340,252.750,94.254,98.232,168.250,86.272,57.963,31.250,91.720,79.563,165.250,79.058,64.468,410.000,70.253,109.693,33.000,89.038,42.409,111.000,80.962,57.600,54.762,90.864,83.587,143.667,93.517,104.233,90.667,81.466,35.609,128.250,92.078,89.943,77.750,63.077,89.760,142.400,88.950,109.819,87.625,87.361,89.392
156,119.750,96.579,84.590,115.778,75.948,110.787,191.333,88.235,100.829,320.167,80.586,87.405,169.625,94.329,98.273,85.500,86.236,57.843,62.000,91.787,79.422,203.625,79.113,64.262,231.250,70.193,109.728,111.000,88.846,42.631,166.600,80.868,57.927,89.048,90.941,83.492,105.000,93.397,104.087,78.000,81.477,35.661,133.625,92.163,89.877,96.000,62.984,90.010,121.000,88.988,109.956,108.625,87.307,89.128
157,124.750,96.500,84.585,107.778,76.209,110.824,146.444,88.343,100.882,230.333,80.656,87.438,232.875,94.324,98.283,214.000,86.296,58.077,31.250,91.797,79.519,213.625,79.120,64.228,247.250,70.270,109.804,104.250,89.069,42.690,140.000,80.903,57.919,132.762,90.956,83.568,65.000,93.783,104.312,86.667,81.420,35.673,117.250,92.206,89.819,46.500,63.217,89.840,145.600,88.953,109.935,87.500,87.418,89.323
158,97.625,96.513,84.692,91.333,76.178,110.762,119.111,88.113,100.835,125.833,80.822,87.462,148.125,94.309,98.367,175.250,86.325,57.847,38.500,91.886,79.574,143.250,79.071,64.373,211.500,70.228,109.859,52.250,88.661,42.690,114.400,80.868,57.673,103.143,90.893,83.406,137.500,93.569,104.252,130.000,81.292,35.702,90.875,92.089,89.766,115.750,63.203,89.966,169.200,88.927,109.769,54.375,87.361,89.287
159,88.125,96.633,84.672,122.444,76.177,110.760,173.778,88.147,100.791,222.000,80.516,87.435,248.625,94.479,98.121,116.250,86.320,58.085,62.500,92.004,79.381,182.125,79.026,64.314,112.500,70.198,109.794,48.250,88.934,42.582,111.600,80.926,57.766,94.476,91.036,83.427,37.500,93.566,103.809,101.500,81.498,35.602,120.875,92.124,89.833,76.500,63.056,89.784,186.400,88.947,110.169,98.750,87.377,89.363
160,97.750,96.649,84.794,113.778,76.247,110.760,180.222,88.301,100.942,193.000,80.620,87.431,234.875,94.426,98.304,240.750,86.378,57.980,33.250,91.768,79.572,210.750,79.054,64.349,121.000,70.098,109.824,215.750,88.901,42.588,122.200,80.982,57.601,44.952,90.972,83.492,68.167,93.645,104.270,85.000,81.358,35.616,112.500,92.176,89.903,76.250,63.025,90.007,105.200,88.946,109.925,83.000,87.349,89.299
161,124.625,96.617,84.627,132.667,76.099,110.824,212.222,88.184,100.829,153.167,80.549,87.336,193.500,94.480,98.233,189.750,86.237,58.057,37.250,91.685,79.992,176.000,79.062,64.329,163.500,70.196,109.704,179.500,88.975,42.644,132.600,80.882,57.428,95.714,90.815,83.696,134.333,93.567,104.268,44.667,81.366,35.605,90.000,92.165,89.857,94.000,63.158,89.644,123.800,88.953,109.931,97.000,87.171,89.316
