 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18
11,62.528,166.124,98.376,261.611,185.380,70.369,39.367,64.658,52.978,35.067,181.299,100.420,48.562,209.453,131.698,195.742,191.553,73.671,70.538,213.357,135.424,80.588,190.695,123.476,294.545,184.227,78.936,148.571,135.087,68.330,236.300,148.130,66.897,32.690,121.041,79.536,84.162,199.392,108.106,57.433,198.706,114.982,406.333,155.896,56.875,40.679,176.533,41.665,129.059,161.493,30.371,32.773,171.724,90.275
12,87.722,166.186,98.689,346.444,185.289,70.391,36.967,64.208,52.507,23.133,181.430,100.659,40.938,209.955,131.710,244.129,191.531,73.591,87.769,213.611,135.397,99.333,190.804,123.461,267.682,183.969,78.673,149.524,135.033,68.420,288.267,148.093,66.692,24.905,120.682,79.215,68.649,199.122,108.266,66.133,198.630,115.409,322.889,155.820,57.016,42.357,176.531,42.011,112.667,161.861,30.579,50.591,171.715,90.651
13,63.361,166.292,98.709,285.667,185.482,70.426,33.100,64.371,52.602,21.500,181.961,100.236,31.062,209.805,131.601,286.258,191.667,73.544,81.462,213.660,135.380,118.667,190.985,123.405,262.227,184.178,78.829,149.762,135.193,68.430,220.233,148.055,66.784,30.429,120.329,79.505,84.108,199.210,107.941,86.267,198.761,115.416,294.333,155.920,57.002,62.500,176.659,41.695,73.647,161.558,30.519,25.136,171.771,90.459
14,57.000,166.316,99.008,368.889,185.352,70.274,45.400,64.521,52.532,20.000,181.705,100.474,26.000,209.644,131.841,245.548,191.817,73.595,67.769,213.418,135.404,109.843,190.979,123.441,251.955,184.051,78.789,176.714,135.128,68.582,236.300,148.061,66.639,23.143,121.052,79.408,90.757,199.267,107.994,91.833,198.734,115.033,372.889,155.788,56.874,40.036,176.418,41.946,117.922,161.560,30.482,32.318,171.666,90.929
15,104.028,166.134,98.809,337.444,185.382,70.428,59.133,64.350,52.387,22.300,181.986,100.839,49.812,209.976,131.434,247.419,191.642,73.667,126.000,213.468,135.548,109.647,190.926,123.314,299.773,184.183,78.874,98.476,135.190,68.075,235.400,148.005,66.655,29.143,120.495,79.305,53.081,199.418,108.311,84.233,198.785,115.071,358.000,155.913,57.007,27.750,176.364,41.667,134.353,161.802,30.639,50.273,171.457,90.694
16,2691.292,166.181,98.600,341.333,185.378,70.358,44.867,64.144,52.437,25.400,181.608,100.803,36.125,210.279,131.736,213.742,191.700,73.529,97.077,213.320,135.261,127.137,190.773,123.366,370.455,184.143,78.820,89.905,135.136,68.559,310.500,148.111,66.531,26.405,120.759,79.512,64.757,199.419,108.109,64.967,198.734,115.139,472.111,155.805,57.088,47.321,176.609,41.509,111.294,161.696,30.519,15.455,171.662,90.722
17,661.833,166.204,98.592,319.889,185.449,70.347,39.833,64.475,52.561,17.900,181.144,100.422,16.625,209.674,131.829,260.645,191.746,73.824,48.538,213.512,135.490,93.961,191.076,123.569,294.864,184.024,78.827,120.952,135.073,68.307,236.133,147.918,66.720,27.714,120.948,79.394,64.054,199.321,108.044,94.433,198.794,115.045,437.278,155.899,56.951,41.964,176.706,41.965,137.098,161.819,30.587,50.955,171.671,90.669
18,61.889,166.219,98.465,291.278,185.379,70.459,30.333,64.568,52.637,20.667,181.540,100.984,30.812,209.626,131.757,281.613,191.707,73.527,66.308,213.453,135.260,97.255,190.899,123.406,240.227,184.206,78.901,86.143,135.111,68.331,306.933,148.135,66.698,24.143,120.559,79.336,79.622,199.139,108.279,96.467,198.585,115.221,391.111,155.859,56.977,27.464,176.374,42.798,115.216,161.589,30.569,26.591,171.633,90.649
19,30.556,166.303,98.183,354.167,185.301,70.368,24.267,64.424,52.633,11.733,181.835,100.771,42.125,209.681,131.390,262.774,191.696,73.726,65.923,213.558,135.429,135.922,190.926,123.466,267.500,184.231,78.921,128.190,135.028,68.246,213.733,148.234,66.781,29.000,120.539,79.283,100.486,199.158,108.193,120.933,198.534,115.244,368.111,155.851,56.970,19.679,176.380,42.001,80.078,161.744,30.637,48.182,171.621,90.692
20,37.028,166.259,99.005,279.056,185.354,70.313,29.167,64.272,52.481,14.800,181.303,100.641,28.812,209.698,131.752,258.903,191.739,73.649,109.769,213.625,135.300,107.373,190.965,123.451,237.409,184.129,78.890,88.619,135.173,68.470,263.067,148.319,66.623,25.714,120.790,79.565,87.189,199.185,108.174,98.800,198.688,115.220,377.222,155.793,57.019,35.464,176.453,42.150,105.216,161.813,30.444,44.045,171.568,90.684
