 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30
424,270.844,131.729,184.672,9.625,209.981,151.346,7.190,209.676,131.993,196.346,150.133,132.717,47.500,139.075,136.310,58.833,161.174,129.660,10.596,123.961,102.868,150.344,141.533,115.702,707.125,174.220,192.347,9.824,211.172,144.400,131.027,129.198,118.469,312.467,156.721,201.283,299.941,161.138,198.217,214.765,146.531,138.177,25.706,129.642,102.081,190.556,128.571,125.076,281.294,155.495,128.493,364.047,136.000,121.609,13.508,205.336,159.799,51.633,115.602,133.103,241.667,155.471,137.346,56.810,122.555,128.241,141.227,179.613,175.338,100.471,145.529,189.540,51.100,148.023,208.895,244.227,173.835,177.981,16.412,178.249,189.584,55.953,131.696,126.858,49.571,141.606,203.490,18.222,146.043,104.146
425,211.531,131.576,184.804,14.875,209.862,151.817,22.143,209.740,131.907,240.231,150.062,132.614,73.944,139.573,136.336,48.333,161.119,129.927,9.385,123.724,102.901,148.281,141.602,115.455,581.750,174.196,192.416,24.529,210.574,143.939,147.784,129.066,118.410,295.300,156.611,201.129,243.176,161.128,198.272,135.000,146.779,138.479,16.471,129.392,101.984,289.444,128.598,125.049,262.157,155.508,128.529,336.279,136.052,121.595,15.180,205.609,160.177,34.100,115.407,132.743,205.854,155.258,137.524,56.048,122.439,128.626,74.045,179.249,175.234,158.118,145.683,189.446,24.933,148.005,208.509,222.955,173.979,177.984,41.000,178.423,189.506,66.651,131.282,127.194,29.381,142.107,204.113,14.519,145.894,103.079
426,212.219,131.758,184.733,11.792,210.079,151.523,28.857,209.806,131.645,186.846,150.088,132.769,83.833,139.329,136.211,36.133,161.219,129.593,10.788,124.754,102.402,99.312,141.321,115.785,553.208,174.187,192.463,13.412,211.247,143.724,80.757,129.214,118.449,312.600,156.667,201.090,179.824,161.267,198.209,144.647,146.708,138.175,30.765,129.250,102.252,195.167,128.681,124.892,289.725,155.613,128.527,336.047,136.038,121.584,19.738,205.488,159.919,67.833,115.390,132.938,200.562,155.414,137.466,17.095,122.274,127.990,62.773,179.565,175.087,113.294,145.569,189.641,54.533,147.483,208.802,234.682,173.931,178.172,33.000,178.753,189.421,45.837,131.822,126.806,14.619,141.669,203.035,10.815,146.318,102.859
427,155.156,131.698,184.619,12.208,209.708,151.018,27.190,209.841,132.127,277.500,150.089,132.683,20.944,138.926,136.403,30.600,161.406,129.895,14.269,124.812,102.660,140.719,141.345,115.559,585.167,174.235,192.374,13.353,210.603,143.890,113.405,129.414,118.408,284.133,156.594,201.076,215.941,161.162,198.316,239.765,146.678,138.511,24.412,129.462,102.219,251.667,128.613,124.846,310.353,155.430,128.538,368.907,135.986,121.621,8.623,205.356,160.414,59.367,115.502,132.946,184.604,155.363,137.481,46.857,122.593,128.275,66.318,179.478,175.381,157.529,145.666,189.478,34.367,147.866,208.764,273.818,173.969,177.994,16.588,178.371,189.085,48.884,131.786,127.180,35.238,141.616,203.548,9.481,145.468,103.730
428,256.594,131.826,184.713,6.083,209.921,150.562,9.476,209.547,131.902,215.769,150.120,132.701,50.222,139.220,135.912,37.833,161.219,129.712,5.962,124.220,103.289,126.125,141.283,115.705,695.250,174.293,192.400,0.471,211.188,143.259,174.811,129.121,118.766,283.200,156.577,201.109,182.941,161.121,198.347,195.941,146.569,138.247,22.353,129.530,102.218,279.944,128.569,124.928,281.647,155.471,128.574,344.698,136.037,121.563,3.049,205.498,160.198,61.200,115.751,132.954,227.562,155.363,137.448,58.095,122.420,128.458,67.091,179.674,175.336,186.706,145.616,189.656,29.500,148.044,208.948,209.636,173.823,178.192,14.941,178.326,189.443,37.442,131.491,127.156,49.476,141.380,203.499,14.259,145.637,104.463
429,264.469,131.667,184.682,9.000,210.199,151.144,8.190,209.488,132.024,174.231,150.228,132.724,18.222,139.162,136.342,39.000,161.384,129.310,11.442,124.001,103.348,101.125,141.404,115.609,560.708,174.227,192.420,0.059,211.265,143.065,105.297,129.336,118.303,335.800,156.797,201.283,209.706,161.037,198.306,158.176,146.688,138.336,66.647,128.875,102.049,211.667,128.653,124.915,289.294,155.516,128.539,410.814,136.016,121.671,57.475,205.297,160.356,51.767,115.291,133.011,181.896,155.388,137.292,48.381,122.730,128.064,64.636,179.693,175.030,182.412,145.481,189.668,57.867,147.903,209.088,266.591,173.869,178.139,17.882,178.607,189.647,66.837,131.486,126.872,21.619,141.526,203.673,11.259,146.204,104.424
430,217.469,131.658,184.808,7.417,209.537,151.001,16.333,209.821,131.882,234.577,150.306,132.697,16.778,139.309,136.571,42.367,161.121,129.637,14.288,124.357,102.817,157.250,141.408,115.610,698.000,174.258,192.461,11.235,210.298,143.896,127.838,129.016,118.600,322.933,156.619,201.135,278.882,161.069,198.397,173.412,146.650,138.357,24.706,129.408,102.465,238.722,128.602,124.959,252.706,155.536,128.448,359.605,135.963,121.658,13.967,205.359,160.012,44.467,115.729,133.284,218.271,155.256,137.374,67.095,122.470,128.042,74.727,179.657,175.610,171.765,145.626,189.609,25.767,147.995,209.196,198.318,173.896,178.070,20.176,178.513,189.370,42.233,131.474,126.687,52.048,141.831,203.675,16.444,145.928,103.715
431,292.219,131.717,184.806,11.208,209.891,152.174,24.762,209.615,131.914,219.885,150.136,132.575,11.056,139.264,136.645,34.100,161.309,130.060,3.981,123.694,103.068,144.062,141.334,115.832,634.250,174.182,192.448,6.941,210.409,144.024,99.081,129.307,118.617,284.300,156.660,201.251,168.529,161.130,198.327,180.000,146.670,138.154,18.000,129.365,101.943,216.889,128.634,124.707,282.510,155.490,128.622,376.419,136.053,121.522,24.459,205.428,159.947,80.167,115.497,132.733,195.521,155.305,137.202,39.429,122.535,128.100,56.091,179.731,175.474,138.000,145.676,189.265,21.733,147.561,209.178,256.318,173.993,178.084,23.765,178.121,189.676,52.674,131.514,126.921,71.143,142.071,203.498,11.963,146.219,104.383
432,232.625,131.751,184.713,1.208,210.025,151.125,12.333,209.631,132.284,241.538,150.111,132.599,22.167,139.458,136.142,54.467,160.850,129.965,9.481,124.155,102.270,143.469,141.387,115.650,600.917,174.250,192.333,9.176,210.790,144.313,76.973,129.433,118.653,323.733,156.544,201.314,144.059,161.239,198.425,110.118,146.587,138.471,22.765,129.454,102.581,246.444,128.618,125.026,270.431,155.438,128.429,381.047,135.937,121.716,6.295,205.695,161.260,57.567,115.660,133.059,218.771,155.386,137.286,47.810,122.648,128.008,57.636,179.226,175.344,123.412,145.909,189.691,45.067,147.787,208.775,232.955,173.961,178.046,35.706,178.647,189.668,60.140,131.472,126.867,63.857,141.895,203.633,15.111,146.184,103.937
433,220.344,131.784,184.815,3.083,209.962,151.267,23.238,209.649,132.191,239.923,150.345,132.474,11.222,139.109,136.824,24.633,161.290,129.969,6.962,123.824,102.341,156.406,141.428,115.810,657.792,174.246,192.476,1.824,210.635,144.315,79.081,129.375,118.684,256.733,156.638,201.181,204.529,161.100,198.205,196.529,146.799,138.260,22.471,129.235,102.441,286.500,128.723,124.898,297.686,155.592,128.723,374.023,135.908,121.677,8.689,206.065,160.450,35.333,115.436,132.879,221.104,155.303,137.045,46.381,122.672,127.727,72.227,179.418,175.321,182.647,145.727,189.444,46.367,147.314,208.417,223.000,173.947,178.201,40.235,178.336,189.401,81.395,131.394,126.960,39.619,141.662,203.046,11.926,146.208,103.124
